clip,frame_idx,keypoint_index,verdict,actual_index,confidence,labelled_at
clip_3,20,12,correct,,0.999883,2026-08-14T09:23:10.035436+00:00
clip_3,20,13,correct,,0.999998,2026-08-14T09:23:44.001822+00:00
clip_3,20,14,correct,,1.000000,2026-08-14T09:24:00.246005+00:00
clip_3,20,15,correct,,1.000000,2026-08-14T09:24:07.432318+00:00
clip_3,20,16,correct,,0.999999,2026-08-14T09:24:21.207026+00:00
clip_3,20,17,correct,,1.000000,2026-08-14T09:24:29.943327+00:00
clip_2,116,11,correct,,0.595992,2026-08-14T09:25:21.801874+00:00
clip_2,116,12,correct,,0.999929,2026-08-14T09:26:03.888655+00:00
clip_2,116,13,correct,,0.999998,2026-08-14T09:26:10.896723+00:00
clip_2,116,14,correct,,1.000000,2026-08-14T09:26:18.120846+00:00
clip_2,116,15,correct,,1.000000,2026-08-14T09:26:21.154161+00:00
clip_2,116,16,correct,,0.999990,2026-08-14T09:26:24.603704+00:00
clip_2,116,17,correct,,1.000000,2026-08-14T09:26:28.761787+00:00
clip_2,31,11,correct,,0.936662,2026-08-14T09:26:40.916847+00:00
clip_2,31,12,correct,,0.999990,2026-08-14T09:26:44.543516+00:00
clip_2,31,13,correct,,1.000000,2026-08-14T09:26:49.427610+00:00
clip_2,31,14,correct,,1.000000,2026-08-14T09:26:52.817413+00:00
clip_2,31,15,correct,,1.000000,2026-08-14T09:26:56.229204+00:00
clip_2,31,16,correct,,0.999998,2026-08-14T09:27:00.721221+00:00
clip_2,31,17,correct,,1.000000,2026-08-14T09:27:03.321984+00:00
clip_3,103,11,correct,,0.704411,2026-08-14T09:27:08.164181+00:00
clip_3,103,12,correct,,0.999965,2026-08-14T09:27:12.175534+00:00
clip_3,103,13,correct,,0.999999,2026-08-14T09:27:16.644117+00:00
clip_3,103,14,correct,,1.000000,2026-08-14T09:27:19.599298+00:00
clip_3,103,15,correct,,1.000000,2026-08-14T09:27:24.024735+00:00
clip_3,103,16,correct,,0.999998,2026-08-14T09:27:28.227619+00:00
clip_3,103,17,correct,,1.000000,2026-08-14T09:27:31.365689+00:00
clip_3,26,12,correct,,0.999920,2026-08-14T09:27:36.483792+00:00
clip_3,26,13,correct,,0.999999,2026-08-14T09:27:39.436112+00:00
clip_3,26,14,correct,,1.000000,2026-08-14T09:27:43.849077+00:00
clip_3,26,15,correct,,1.000000,2026-08-14T09:27:46.591248+00:00
clip_3,26,16,correct,,0.999999,2026-08-14T09:27:49.679745+00:00
clip_3,26,17,correct,,1.000000,2026-08-14T09:27:52.676298+00:00
clip_1,74,12,correct,,0.924734,2026-08-14T09:27:58.471260+00:00
clip_1,74,13,correct,,0.999911,2026-08-14T09:28:01.020431+00:00
clip_1,74,14,correct,,0.999999,2026-08-14T09:28:03.786051+00:00
clip_1,74,15,correct,,1.000000,2026-08-14T09:28:06.116506+00:00
clip_1,74,16,correct,,1.000000,2026-08-14T09:28:09.555908+00:00
clip_1,74,17,correct,,1.000000,2026-08-14T09:28:12.704114+00:00
clip_1,59,6,correct,,0.876217,2026-08-14T09:28:58.129256+00:00
clip_1,59,7,correct,,0.999561,2026-08-14T09:29:02.475210+00:00
clip_1,59,14,correct,,0.679181,2026-08-14T09:29:11.473262+00:00
clip_1,59,15,correct,,0.855906,2026-08-14T09:29:13.682093+00:00
clip_1,59,16,correct,,1.000000,2026-08-14T09:29:15.752233+00:00
clip_1,59,17,correct,,0.999998,2026-08-14T09:29:17.631885+00:00
clip_2,39,11,correct,,0.575969,2026-08-14T09:29:22.125187+00:00
clip_2,39,12,correct,,0.999944,2026-08-14T09:29:24.601435+00:00
clip_2,39,13,correct,,0.999999,2026-08-14T09:29:26.915267+00:00
clip_2,39,14,correct,,1.000000,2026-08-14T09:29:29.018027+00:00
clip_2,39,15,correct,,1.000000,2026-08-14T09:29:31.099034+00:00
clip_2,39,16,correct,,0.999995,2026-08-14T09:29:33.254392+00:00
clip_2,39,17,correct,,1.000000,2026-08-14T09:29:40.778543+00:00
clip_2,148,11,correct,,0.905828,2026-08-14T09:29:44.965505+00:00
clip_2,148,12,correct,,0.999982,2026-08-14T09:29:47.404657+00:00
clip_2,148,13,correct,,0.999999,2026-08-14T09:29:49.584444+00:00
clip_2,148,14,correct,,1.000000,2026-08-14T09:29:51.864912+00:00
clip_2,148,15,correct,,1.000000,2026-08-14T09:29:53.918879+00:00
clip_2,148,16,correct,,0.999993,2026-08-14T09:29:56.476251+00:00
clip_2,148,17,correct,,1.000000,2026-08-14T09:29:58.731832+00:00
clip_3,132,7,correct,,0.995611,2026-08-14T09:30:01.411733+00:00
clip_3,132,16,correct,,0.999999,2026-08-14T09:30:03.986483+00:00
clip_3,132,17,correct,,0.999972,2026-08-14T09:30:06.724034+00:00
clip_2,63,12,correct,,0.998764,2026-08-14T09:30:09.445271+00:00
clip_2,63,13,correct,,0.999985,2026-08-14T09:30:12.090288+00:00
clip_2,63,14,correct,,0.999998,2026-08-14T09:30:14.367497+00:00
clip_2,63,15,correct,,0.999998,2026-08-14T09:30:16.509251+00:00
clip_2,63,16,correct,,0.999964,2026-08-14T09:30:18.769033+00:00
clip_2,63,17,correct,,0.999998,2026-08-14T09:30:21.062990+00:00
clip_3,25,12,correct,,0.999905,2026-08-14T09:30:26.256845+00:00
clip_3,25,13,correct,,0.999999,2026-08-14T09:30:28.740662+00:00
clip_3,25,14,correct,,1.000000,2026-08-14T09:30:31.570002+00:00
clip_3,25,15,correct,,1.000000,2026-08-14T09:30:33.814446+00:00
clip_3,25,16,correct,,0.999999,2026-08-14T09:30:36.613897+00:00
clip_3,25,17,correct,,1.000000,2026-08-14T09:30:39.181654+00:00
clip_1,10,0,correct,,1.000000,2026-08-14T09:30:47.177120+00:00
clip_1,10,1,correct,,1.000000,2026-08-14T09:30:49.585254+00:00
clip_1,10,2,correct,,0.999999,2026-08-14T09:30:51.820991+00:00
clip_1,10,3,correct,,0.999696,2026-08-14T09:30:53.778327+00:00
clip_1,10,8,correct,,1.000000,2026-08-14T09:31:01.347150+00:00
clip_1,10,9,correct,,1.000000,2026-08-14T09:31:03.539011+00:00
clip_2,135,11,correct,,0.878639,2026-08-14T09:31:06.406157+00:00
clip_2,135,12,correct,,0.999972,2026-08-14T09:31:10.585248+00:00
clip_2,135,13,correct,,0.999999,2026-08-14T09:31:12.991605+00:00
clip_2,135,14,correct,,1.000000,2026-08-14T09:31:15.306504+00:00
clip_2,135,15,correct,,1.000000,2026-08-14T09:31:17.604985+00:00
clip_2,135,16,correct,,0.999994,2026-08-14T09:31:20.123759+00:00
clip_2,135,17,correct,,1.000000,2026-08-14T09:31:22.287748+00:00
clip_3,143,7,correct,,0.999986,2026-08-14T09:31:29.146506+00:00
clip_2,128,11,correct,,0.934905,2026-08-14T09:31:33.227070+00:00
clip_2,128,12,correct,,0.999991,2026-08-14T09:31:35.798850+00:00
clip_2,128,13,correct,,1.000000,2026-08-14T09:31:38.337991+00:00
clip_2,128,14,correct,,1.000000,2026-08-14T09:31:43.039420+00:00
clip_2,128,15,correct,,1.000000,2026-08-14T09:31:45.135167+00:00
clip_2,128,16,correct,,0.999999,2026-08-14T09:31:47.529996+00:00
clip_2,128,17,correct,,1.000000,2026-08-14T09:31:49.544051+00:00
clip_1,17,0,correct,,1.000000,2026-08-14T09:31:52.987882+00:00
clip_1,17,1,correct,,1.000000,2026-08-14T09:31:55.078275+00:00
clip_1,17,2,correct,,0.999854,2026-08-14T09:31:58.346844+00:00
clip_1,17,3,correct,,0.807332,2026-08-14T09:32:00.908120+00:00
clip_1,17,6,correct,,0.824802,2026-08-14T09:32:04.799383+00:00
clip_1,17,7,correct,,0.969269,2026-08-14T09:32:06.950031+00:00
clip_1,17,8,correct,,1.000000,2026-08-14T09:32:09.769617+00:00
clip_1,17,9,correct,,1.000000,2026-08-14T09:32:11.730109+00:00
clip_3,183,0,correct,,0.999706,2026-08-14T09:32:16.209698+00:00
clip_3,183,1,correct,,0.998976,2026-08-14T09:32:18.834875+00:00
clip_3,183,8,correct,,1.000000,2026-08-14T09:32:21.497263+00:00
clip_3,183,9,correct,,1.000000,2026-08-14T09:32:23.653003+00:00
clip_1,52,6,correct,,0.866524,2026-08-14T09:32:26.447219+00:00
clip_1,52,7,correct,,0.999985,2026-08-14T09:32:28.921192+00:00
clip_1,52,16,correct,,0.999951,2026-08-14T09:32:32.073309+00:00
clip_1,52,17,correct,,0.996808,2026-08-14T09:32:34.246040+00:00
clip_3,188,0,correct,,0.999985,2026-08-14T09:32:37.369237+00:00
clip_3,188,1,correct,,0.999957,2026-08-14T09:32:39.770407+00:00
clip_3,188,2,correct,,0.964255,2026-08-14T09:32:42.442383+00:00
clip_3,188,8,correct,,1.000000,2026-08-14T09:32:44.884466+00:00
clip_3,188,9,correct,,1.000000,2026-08-14T09:32:48.300127+00:00
clip_1,77,12,correct,,0.984965,2026-08-14T09:32:52.315895+00:00
clip_1,77,13,correct,,0.999942,2026-08-14T09:32:54.748511+00:00
clip_1,77,14,correct,,1.000000,2026-08-14T09:32:57.047845+00:00
clip_1,77,15,correct,,1.000000,2026-08-14T09:32:59.349571+00:00
clip_1,77,16,correct,,1.000000,2026-08-14T09:33:02.022862+00:00
clip_1,77,17,correct,,1.000000,2026-08-14T09:33:04.432411+00:00
clip_2,4,10,correct,,0.522792,2026-08-14T09:33:09.864400+00:00
clip_2,4,11,correct,,0.992265,2026-08-14T09:33:13.318536+00:00
clip_2,4,12,correct,,0.999998,2026-08-14T09:33:16.501426+00:00
clip_2,4,13,correct,,1.000000,2026-08-14T09:33:19.217478+00:00
clip_2,4,14,correct,,1.000000,2026-08-14T09:33:21.583510+00:00
