clip,frame_idx,holder,labelled_at
clip_1,0,nobody,2026-08-12T07:56:36.518308+00:00
clip_1,1,nobody,2026-08-12T07:56:41.775120+00:00
clip_1,2,nobody,2026-08-12T07:59:18.093170+00:00
clip_1,3,unclear,2026-08-12T08:06:24.250516+00:00
clip_1,4,unclear,2026-08-12T08:06:30.417400+00:00
clip_1,5,unclear,2026-08-12T08:06:34.221891+00:00
clip_1,6,unclear,2026-08-12T08:06:37.981476+00:00
clip_1,7,unclear,2026-08-12T08:06:41.607028+00:00
clip_1,8,9,2026-08-12T08:06:45.191715+00:00
clip_1,9,9,2026-08-12T08:06:48.303205+00:00
clip_1,10,unclear,2026-08-12T08:07:14.906190+00:00
clip_1,11,9,2026-08-12T08:07:18.018464+00:00
clip_1,12,unclear,2026-08-12T08:07:20.926088+00:00
clip_1,13,unclear,2026-08-12T08:07:23.102366+00:00
clip_1,14,9,2026-08-12T08:07:26.263020+00:00
clip_1,15,9,2026-08-12T08:07:28.703188+00:00
clip_1,16,9,2026-08-12T08:07:31.173719+00:00
clip_1,17,9,2026-08-12T08:07:33.560260+00:00
clip_1,18,9,2026-08-12T08:07:35.853254+00:00
clip_1,19,9,2026-08-12T08:07:37.932153+00:00
clip_1,20,9,2026-08-12T08:07:40.107851+00:00
clip_1,21,9,2026-08-12T08:07:41.887124+00:00
clip_1,22,9,2026-08-12T08:07:44.236666+00:00
clip_1,23,9,2026-08-12T08:07:47.730518+00:00
clip_1,24,9,2026-08-12T08:07:50.940262+00:00
clip_1,25,9,2026-08-12T08:07:54.421662+00:00
clip_1,26,9,2026-08-12T08:07:57.375415+00:00
clip_1,27,9,2026-08-12T08:08:00.652021+00:00
clip_1,28,9,2026-08-12T08:08:03.492831+00:00
clip_1,29,unclear,2026-08-12T08:09:26.743169+00:00
clip_1,30,unclear,2026-08-12T08:09:31.928990+00:00
clip_1,31,9,2026-08-12T08:09:34.866583+00:00
clip_1,32,9,2026-08-12T08:09:37.978127+00:00
clip_1,33,9,2026-08-12T08:09:40.595591+00:00
clip_1,34,9,2026-08-12T08:10:43.757823+00:00
clip_1,35,9,2026-08-12T08:10:47.521465+00:00
clip_1,36,9,2026-08-12T08:10:50.014712+00:00
clip_1,37,9,2026-08-12T08:10:52.371324+00:00
clip_1,38,9,2026-08-12T08:10:54.989253+00:00
clip_1,39,9,2026-08-12T08:10:57.424434+00:00
clip_1,40,9,2026-08-12T08:10:59.649452+00:00
clip_1,41,9,2026-08-12T08:11:02.046341+00:00
clip_1,42,9,2026-08-12T08:11:04.247877+00:00
clip_1,43,9,2026-08-12T08:11:06.764162+00:00
clip_1,44,9,2026-08-12T08:11:08.664005+00:00
clip_1,45,9,2026-08-12T08:11:10.580023+00:00
clip_1,46,9,2026-08-12T08:11:12.578898+00:00
clip_1,47,9,2026-08-12T08:11:16.492327+00:00
clip_1,48,9,2026-08-12T08:11:18.527067+00:00
clip_1,49,9,2026-08-12T08:11:20.471661+00:00
clip_1,50,9,2026-08-12T08:11:22.597171+00:00
clip_1,51,9,2026-08-12T08:11:24.632382+00:00
clip_1,52,9,2026-08-12T08:11:26.609984+00:00
clip_1,53,9,2026-08-12T08:11:28.801700+00:00
