clip,frame_idx,player_id,true_team,labelled_at
clip_3,10,1,2,2026-08-10T21:16:54.941404+00:00
clip_3,10,2,2,2026-08-10T21:17:00.344659+00:00
clip_3,10,3,1,2026-08-10T21:17:04.804179+00:00
clip_3,10,4,1,2026-08-10T21:17:08.814700+00:00
clip_3,10,5,1,2026-08-10T21:17:12.630068+00:00
clip_3,10,6,2,2026-08-10T21:17:16.874201+00:00
clip_3,10,7,1,2026-08-10T21:17:19.357819+00:00
clip_3,10,8,1,2026-08-10T21:17:20.940773+00:00
clip_3,10,9,2,2026-08-10T21:17:23.825281+00:00
clip_3,10,10,2,2026-08-10T21:17:31.690313+00:00
clip_3,113,2,1,2026-08-10T21:17:59.547558+00:00
clip_3,113,3,2,2026-08-10T21:18:02.441101+00:00
clip_3,113,4,1,2026-08-10T21:18:04.802041+00:00
clip_3,113,7,2,2026-08-10T21:18:12.903353+00:00
clip_3,113,8,1,2026-08-10T21:18:14.364735+00:00
clip_3,113,9,2,2026-08-10T21:18:15.724283+00:00
clip_3,113,10,2,2026-08-10T21:18:18.329186+00:00
clip_3,113,13,1,2026-08-10T21:18:19.620262+00:00
clip_3,114,2,1,2026-08-10T21:18:25.487134+00:00
clip_3,114,3,2,2026-08-10T21:18:30.447557+00:00
clip_3,114,4,1,2026-08-10T21:18:33.113682+00:00
clip_3,114,7,2,2026-08-10T21:18:36.750413+00:00
clip_3,114,8,1,2026-08-10T21:18:38.077346+00:00
clip_3,114,9,2,2026-08-10T21:18:39.665564+00:00
clip_3,114,10,2,2026-08-10T21:18:42.382166+00:00
clip_3,114,13,1,2026-08-10T21:18:46.257537+00:00
clip_2,90,1,2,2026-08-10T21:19:33.973687+00:00
clip_2,90,2,1,2026-08-10T21:19:37.667461+00:00
clip_2,90,4,2,2026-08-10T21:19:41.028062+00:00
clip_2,90,5,2,2026-08-10T21:19:49.674966+00:00
clip_2,90,6,1,2026-08-10T21:19:53.257164+00:00
clip_2,90,7,2,2026-08-10T21:23:24.027677+00:00
clip_2,90,8,2,2026-08-10T21:23:29.078235+00:00
clip_2,90,9,1,2026-08-10T21:23:30.903325+00:00
clip_2,90,10,1,2026-08-10T21:23:33.863466+00:00
clip_3,222,4,1,2026-08-10T21:23:48.599812+00:00
clip_3,222,7,2,2026-08-10T21:23:50.486842+00:00
clip_3,222,13,unclear,2026-08-10T21:24:09.164764+00:00
clip_3,222,14,1,2026-08-10T21:24:12.939135+00:00
clip_3,222,15,1,2026-08-10T21:24:15.514306+00:00
clip_3,222,18,2,2026-08-10T21:24:17.403992+00:00
clip_3,207,4,1,2026-08-10T21:24:25.426236+00:00
clip_3,207,7,2,2026-08-10T21:24:28.229042+00:00
clip_3,207,14,1,2026-08-10T21:24:35.910976+00:00
clip_3,207,15,1,2026-08-10T21:24:37.715857+00:00
clip_3,207,18,2,2026-08-10T21:24:39.097466+00:00
clip_3,97,2,1,2026-08-10T21:24:44.131833+00:00
clip_3,97,3,2,2026-08-10T21:24:46.941259+00:00
clip_3,97,4,1,2026-08-10T21:24:51.694341+00:00
clip_3,97,5,1,2026-08-10T21:24:53.844713+00:00
clip_3,97,6,2,2026-08-10T21:24:55.449447+00:00
clip_3,97,8,1,2026-08-10T21:24:58.816872+00:00
clip_3,97,9,2,2026-08-10T21:25:01.148259+00:00
clip_3,97,10,2,2026-08-10T21:25:04.526145+00:00
clip_3,97,13,1,2026-08-10T21:25:06.988597+00:00
clip_1,55,2,2,2026-08-10T21:26:49.375828+00:00
clip_1,55,5,1,2026-08-10T21:26:52.180845+00:00
clip_1,55,7,2,2026-08-10T21:26:54.176055+00:00
clip_1,55,8,1,2026-08-10T21:26:55.775893+00:00
clip_1,55,9,2,2026-08-10T21:26:57.370449+00:00
clip_1,55,11,1,2026-08-10T21:26:59.180326+00:00
clip_3,214,4,1,2026-08-10T21:27:10.868275+00:00
clip_3,214,7,2,2026-08-10T21:27:13.183494+00:00
clip_3,214,14,1,2026-08-10T21:27:15.940492+00:00
clip_3,214,15,1,2026-08-10T21:27:17.036054+00:00
clip_3,35,1,2,2026-08-10T21:27:35.125494+00:00
clip_3,35,2,1,2026-08-10T21:27:36.940404+00:00
clip_3,35,3,2,2026-08-10T21:27:38.275586+00:00
clip_3,35,4,1,2026-08-10T21:27:42.398131+00:00
clip_3,35,5,1,2026-08-10T21:27:45.463318+00:00
clip_3,35,6,2,2026-08-10T21:27:48.106619+00:00
clip_3,35,7,1,2026-08-10T21:27:49.983463+00:00
clip_3,35,8,1,2026-08-10T21:27:51.262606+00:00
clip_3,35,10,2,2026-08-10T21:27:53.135701+00:00
clip_2,30,1,2,2026-08-10T21:28:00.944544+00:00
clip_2,30,2,1,2026-08-10T21:28:05.912765+00:00
clip_2,30,3,2,2026-08-10T21:28:15.966146+00:00
clip_2,30,5,2,2026-08-10T21:28:41.975663+00:00
clip_2,30,6,1,2026-08-10T21:28:44.934232+00:00
clip_2,30,7,1,2026-08-10T21:28:47.013760+00:00
clip_2,30,9,1,2026-08-10T21:28:52.082488+00:00
clip_2,30,10,1,2026-08-10T21:28:54.023640+00:00
clip_3,201,2,1,2026-08-10T21:29:00.698022+00:00
clip_3,201,4,1,2026-08-10T21:29:04.657005+00:00
clip_3,201,7,2,2026-08-10T21:29:06.955547+00:00
clip_3,201,13,1,2026-08-10T21:29:08.236388+00:00
clip_3,201,14,2,2026-08-10T21:29:10.035450+00:00
clip_3,201,15,1,2026-08-10T21:29:10.916843+00:00
clip_3,231,4,1,2026-08-10T21:36:27.367644+00:00
clip_3,231,7,2,2026-08-10T21:36:29.255410+00:00
clip_3,231,13,2,2026-08-10T21:36:34.132356+00:00
clip_3,231,14,1,2026-08-10T21:36:37.758402+00:00
clip_3,231,15,1,2026-08-10T21:36:39.750967+00:00
clip_3,231,18,2,2026-08-10T21:36:40.909411+00:00
clip_1,90,2,2,2026-08-10T21:36:46.432710+00:00
clip_1,90,7,2,2026-08-10T21:36:48.145972+00:00
clip_1,90,8,1,2026-08-10T21:36:49.878689+00:00
clip_1,90,9,2,2026-08-10T21:36:51.201236+00:00
clip_1,90,11,1,2026-08-10T21:36:52.796869+00:00
clip_3,204,2,1,2026-08-10T21:36:59.846863+00:00
clip_3,204,4,1,2026-08-10T21:37:01.525715+00:00
clip_3,204,7,2,2026-08-10T21:37:03.705231+00:00
clip_3,204,14,2,2026-08-10T21:37:05.936574+00:00
clip_3,204,15,1,2026-08-10T21:37:07.243727+00:00
clip_3,190,2,1,2026-08-10T21:37:14.649287+00:00
clip_3,190,4,1,2026-08-10T21:37:16.485365+00:00
clip_3,190,7,2,2026-08-10T21:37:19.005674+00:00
clip_3,190,13,1,2026-08-10T21:37:20.452560+00:00
clip_3,190,14,2,2026-08-10T21:37:21.213247+00:00
clip_3,190,15,1,2026-08-10T21:37:21.857408+00:00
clip_1,85,2,2,2026-08-10T21:37:28.086207+00:00
clip_1,85,7,2,2026-08-10T21:37:33.901744+00:00
clip_1,85,8,1,2026-08-10T21:37:35.625116+00:00
