clip,variant,spec_variant,frames,raw_present,accepted,accepted_minus_P,new_accept,new_reject,out_of_window_changes,longest_new_reject_run
clip_1,P,True,117,92,79,0,0,0,0,0
clip_1,A40,True,117,92,78,-1,2,3,5,2
clip_1,A55,True,117,92,79,0,2,2,4,2
clip_1,A70,True,117,92,79,0,2,2,4,2
clip_1,A90,True,117,92,82,3,4,1,5,1
clip_1,"B(100,500)",True,117,92,77,-2,1,3,4,2
clip_1,"B(100,250)",True,117,92,67,-12,0,12,12,5
clip_1,"B(100,1000)",True,117,92,80,1,1,0,1,0
clip_1,"B(150,500)",True,117,92,77,-2,1,3,4,2
clip_1,"B(100,2000)",False,117,92,80,1,1,0,1,0
clip_1,"B(100,4000)",False,117,92,80,1,1,0,1,0
clip_1,"B(100,10000)",False,117,92,81,2,2,0,2,0
clip_1,"B(150,1000)",False,117,92,80,1,1,0,1,0
clip_1,"B(200,1000)",False,117,92,80,1,1,0,1,0
clip_2,P,True,174,139,86,0,0,0,0,0
clip_2,A40,True,174,139,99,13,17,4,15,1
clip_2,A55,True,174,139,104,18,21,3,20,2
clip_2,A70,True,174,139,108,22,23,1,20,1
clip_2,A90,True,174,139,110,24,26,2,24,1
clip_2,"B(100,500)",True,174,139,62,-24,7,31,27,5
clip_2,"B(100,250)",True,174,139,48,-38,7,45,31,9
clip_2,"B(100,1000)",True,174,139,90,4,12,8,15,2
clip_2,"B(150,500)",True,174,139,62,-24,7,31,27,5
clip_2,"B(100,2000)",False,174,139,90,4,12,8,15,2
clip_2,"B(100,4000)",False,174,139,105,19,21,2,17,1
clip_2,"B(100,10000)",False,174,139,107,21,23,2,18,1
clip_2,"B(150,1000)",False,174,139,90,4,12,8,15,2
clip_2,"B(200,1000)",False,174,139,90,4,12,8,15,2
clip_3,P,True,243,216,127,0,0,0,0,0
clip_3,A40,True,243,216,147,20,25,5,16,2
clip_3,A55,True,243,216,156,29,36,7,20,2
clip_3,A70,True,243,216,150,23,37,14,25,4
clip_3,A90,True,243,216,155,28,39,11,27,3
clip_3,"B(100,500)",True,243,216,126,-1,19,20,24,3
clip_3,"B(100,250)",True,243,216,97,-30,11,41,38,12
clip_3,"B(100,1000)",True,243,216,150,23,38,15,21,3
clip_3,"B(150,500)",True,243,216,126,-1,19,20,24,3
clip_3,"B(100,2000)",False,243,216,154,27,42,15,23,3
clip_3,"B(100,4000)",False,243,216,155,28,43,15,24,3
clip_3,"B(100,10000)",False,243,216,162,35,45,10,25,2
clip_3,"B(150,1000)",False,243,216,150,23,38,15,21,3
clip_3,"B(200,1000)",False,243,216,150,23,38,15,21,3
