clip,variant,spec_variant,frame,classification
clip_1,A40,True,12,NEW-ACCEPT
clip_1,A40,True,20,NEW-ACCEPT
clip_1,A40,True,21,NEW-REJECT
clip_1,A40,True,22,NEW-REJECT
clip_1,A40,True,24,NEW-REJECT
clip_1,A55,True,12,NEW-ACCEPT
clip_1,A55,True,20,NEW-ACCEPT
clip_1,A55,True,21,NEW-REJECT
clip_1,A55,True,22,NEW-REJECT
clip_1,A70,True,12,NEW-ACCEPT
clip_1,A70,True,20,NEW-ACCEPT
clip_1,A70,True,21,NEW-REJECT
clip_1,A70,True,22,NEW-REJECT
clip_1,A90,True,8,NEW-ACCEPT
clip_1,A90,True,12,NEW-ACCEPT
clip_1,A90,True,20,NEW-ACCEPT
clip_1,A90,True,21,NEW-REJECT
clip_1,A90,True,50,NEW-ACCEPT
clip_1,"B(100,500)",True,12,NEW-ACCEPT
clip_1,"B(100,500)",True,27,NEW-REJECT
clip_1,"B(100,500)",True,28,NEW-REJECT
clip_1,"B(100,500)",True,70,NEW-REJECT
clip_1,"B(100,250)",True,25,NEW-REJECT
clip_1,"B(100,250)",True,27,NEW-REJECT
clip_1,"B(100,250)",True,28,NEW-REJECT
clip_1,"B(100,250)",True,30,NEW-REJECT
clip_1,"B(100,250)",True,31,NEW-REJECT
clip_1,"B(100,250)",True,54,NEW-REJECT
clip_1,"B(100,250)",True,70,NEW-REJECT
clip_1,"B(100,250)",True,112,NEW-REJECT
clip_1,"B(100,250)",True,113,NEW-REJECT
clip_1,"B(100,250)",True,114,NEW-REJECT
clip_1,"B(100,250)",True,115,NEW-REJECT
clip_1,"B(100,250)",True,116,NEW-REJECT
clip_1,"B(100,1000)",True,12,NEW-ACCEPT
clip_1,"B(150,500)",True,12,NEW-ACCEPT
clip_1,"B(150,500)",True,27,NEW-REJECT
clip_1,"B(150,500)",True,28,NEW-REJECT
clip_1,"B(150,500)",True,70,NEW-REJECT
clip_1,"B(100,2000)",False,12,NEW-ACCEPT
clip_1,"B(100,4000)",False,12,NEW-ACCEPT
clip_1,"B(100,10000)",False,8,NEW-ACCEPT
clip_1,"B(100,10000)",False,12,NEW-ACCEPT
clip_1,"B(150,1000)",False,12,NEW-ACCEPT
clip_1,"B(200,1000)",False,12,NEW-ACCEPT
clip_2,A40,True,49,NEW-ACCEPT
clip_2,A40,True,67,NEW-ACCEPT
clip_2,A40,True,69,NEW-REJECT
clip_2,A40,True,90,NEW-ACCEPT
clip_2,A40,True,142,NEW-ACCEPT
clip_2,A40,True,146,NEW-ACCEPT
clip_2,A40,True,147,NEW-ACCEPT
clip_2,A40,True,148,NEW-ACCEPT
clip_2,A40,True,149,NEW-ACCEPT
clip_2,A40,True,161,NEW-ACCEPT
clip_2,A40,True,163,NEW-REJECT
clip_2,A40,True,168,NEW-ACCEPT
clip_2,A40,True,169,NEW-ACCEPT
clip_2,A40,True,170,NEW-ACCEPT
clip_2,A40,True,171,NEW-ACCEPT
clip_2,A55,True,48,NEW-ACCEPT
clip_2,A55,True,49,NEW-ACCEPT
clip_2,A55,True,56,NEW-ACCEPT
clip_2,A55,True,65,NEW-ACCEPT
clip_2,A55,True,66,NEW-ACCEPT
clip_2,A55,True,69,NEW-REJECT
clip_2,A55,True,70,NEW-REJECT
clip_2,A55,True,90,NEW-ACCEPT
clip_2,A55,True,142,NEW-ACCEPT
clip_2,A55,True,145,NEW-ACCEPT
clip_2,A55,True,146,NEW-ACCEPT
clip_2,A55,True,147,NEW-ACCEPT
clip_2,A55,True,148,NEW-ACCEPT
clip_2,A55,True,149,NEW-ACCEPT
clip_2,A55,True,161,NEW-ACCEPT
clip_2,A55,True,163,NEW-REJECT
clip_2,A55,True,168,NEW-ACCEPT
clip_2,A55,True,169,NEW-ACCEPT
clip_2,A55,True,170,NEW-ACCEPT
clip_2,A55,True,171,NEW-ACCEPT
clip_2,A70,True,47,NEW-ACCEPT
