window,clip,variant,spec_variant,frame,raw_present,accepted_by_P,accepted_by_variant,classification
W1,clip_2,A40,True,12,True,True,True,SAME
W1,clip_2,A40,True,13,True,True,True,SAME
W1,clip_2,A40,True,14,True,True,True,SAME
W1,clip_2,A40,True,15,False,False,False,SAME
W1,clip_2,A40,True,16,True,True,True,SAME
W1,clip_2,A40,True,17,True,True,True,SAME
W1,clip_2,A40,True,18,False,False,False,SAME
W1,clip_2,A40,True,19,False,False,False,SAME
W1,clip_2,A40,True,20,True,True,True,SAME
W1,clip_2,A40,True,21,False,False,False,SAME
W1,clip_2,A40,True,22,False,False,False,SAME
W1,clip_2,A40,True,23,False,False,False,SAME
W1,clip_2,A40,True,24,True,True,True,SAME
W1,clip_2,A40,True,25,True,True,True,SAME
W1,clip_2,A40,True,26,True,True,True,SAME
W1,clip_2,A40,True,27,True,True,True,SAME
W1,clip_2,A40,True,28,True,True,True,SAME
W1,clip_2,A40,True,29,True,True,True,SAME
W1,clip_2,A40,True,30,True,True,True,SAME
W1,clip_2,A40,True,31,True,True,True,SAME
W1,clip_2,A40,True,32,True,True,True,SAME
W1,clip_2,A40,True,33,True,False,False,SAME
W1,clip_2,A40,True,34,True,False,True,NEW-ACCEPT
W1,clip_2,A40,True,35,True,False,False,SAME
W1,clip_2,A40,True,36,True,True,False,NEW-REJECT
W1,clip_2,A40,True,37,True,True,True,SAME
W1,clip_2,A40,True,38,True,True,True,SAME
W1,clip_2,A40,True,39,True,False,False,SAME
W1,clip_2,A40,True,40,True,True,True,SAME
W1,clip_2,A40,True,41,False,False,False,SAME
W1,clip_2,A40,True,42,False,False,False,SAME
W1,clip_2,A40,True,43,True,True,True,SAME
W1,clip_2,A40,True,44,False,False,False,SAME
W1,clip_2,A40,True,45,True,True,True,SAME
W1,clip_2,A55,True,12,True,True,True,SAME
W1,clip_2,A55,True,13,True,True,True,SAME
W1,clip_2,A55,True,14,True,True,True,SAME
W1,clip_2,A55,True,15,False,False,False,SAME
W1,clip_2,A55,True,16,True,True,True,SAME
W1,clip_2,A55,True,17,True,True,True,SAME
W1,clip_2,A55,True,18,False,False,False,SAME
W1,clip_2,A55,True,19,False,False,False,SAME
W1,clip_2,A55,True,20,True,True,True,SAME
W1,clip_2,A55,True,21,False,False,False,SAME
W1,clip_2,A55,True,22,False,False,False,SAME
W1,clip_2,A55,True,23,False,False,False,SAME
W1,clip_2,A55,True,24,True,True,True,SAME
W1,clip_2,A55,True,25,True,True,True,SAME
W1,clip_2,A55,True,26,True,True,True,SAME
W1,clip_2,A55,True,27,True,True,True,SAME
W1,clip_2,A55,True,28,True,True,True,SAME
W1,clip_2,A55,True,29,True,True,True,SAME
W1,clip_2,A55,True,30,True,True,True,SAME
W1,clip_2,A55,True,31,True,True,True,SAME
W1,clip_2,A55,True,32,True,True,True,SAME
W1,clip_2,A55,True,33,True,False,False,SAME
W1,clip_2,A55,True,34,True,False,True,NEW-ACCEPT
W1,clip_2,A55,True,35,True,False,False,SAME
W1,clip_2,A55,True,36,True,True,True,SAME
W1,clip_2,A55,True,37,True,True,True,SAME
W1,clip_2,A55,True,38,True,True,True,SAME
W1,clip_2,A55,True,39,True,False,False,SAME
W1,clip_2,A55,True,40,True,True,True,SAME
W1,clip_2,A55,True,41,False,False,False,SAME
W1,clip_2,A55,True,42,False,False,False,SAME
W1,clip_2,A55,True,43,True,True,True,SAME
W1,clip_2,A55,True,44,False,False,False,SAME
W1,clip_2,A55,True,45,True,True,True,SAME
W1,clip_2,A70,True,12,True,True,True,SAME
W1,clip_2,A70,True,13,True,True,True,SAME
W1,clip_2,A70,True,14,True,True,True,SAME
W1,clip_2,A70,True,15,False,False,False,SAME
W1,clip_2,A70,True,16,True,True,True,SAME
W1,clip_2,A70,True,17,True,True,True,SAME
W1,clip_2,A70,True,18,False,False,False,SAME
W1,clip_2,A70,True,19,False,False,False,SAME
W1,clip_2,A70,True,20,True,True,True,SAME
W1,clip_2,A70,True,21,False,False,False,SAME
W1,clip_2,A70,True,22,False,False,False,SAME
W1,clip_2,A70,True,23,False,False,False,SAME
W1,clip_2,A70,True,24,True,True,True,SAME
W1,clip_2,A70,True,25,True,True,True,SAME
W1,clip_2,A70,True,26,True,True,True,SAME
W1,clip_2,A70,True,27,True,True,True,SAME
W1,clip_2,A70,True,28,True,True,True,SAME
W1,clip_2,A70,True,29,True,True,True,SAME
W1,clip_2,A70,True,30,True,True,True,SAME
W1,clip_2,A70,True,31,True,True,True,SAME
W1,clip_2,A70,True,32,True,True,True,SAME
W1,clip_2,A70,True,33,True,False,False,SAME
W1,clip_2,A70,True,34,True,False,True,NEW-ACCEPT
W1,clip_2,A70,True,35,True,False,False,SAME
W1,clip_2,A70,True,36,True,True,True,SAME
W1,clip_2,A70,True,37,True,True,True,SAME
W1,clip_2,A70,True,38,True,True,True,SAME
W1,clip_2,A70,True,39,True,False,False,SAME
W1,clip_2,A70,True,40,True,True,True,SAME
W1,clip_2,A70,True,41,False,False,False,SAME
W1,clip_2,A70,True,42,False,False,False,SAME
W1,clip_2,A70,True,43,True,True,True,SAME
W1,clip_2,A70,True,44,False,False,False,SAME
W1,clip_2,A70,True,45,True,True,True,SAME
W1,clip_2,A90,True,12,True,True,True,SAME
W1,clip_2,A90,True,13,True,True,True,SAME
W1,clip_2,A90,True,14,True,True,True,SAME
W1,clip_2,A90,True,15,False,False,False,SAME
W1,clip_2,A90,True,16,True,True,True,SAME
W1,clip_2,A90,True,17,True,True,True,SAME
W1,clip_2,A90,True,18,False,False,False,SAME
W1,clip_2,A90,True,19,False,False,False,SAME
W1,clip_2,A90,True,20,True,True,True,SAME
W1,clip_2,A90,True,21,False,False,False,SAME
W1,clip_2,A90,True,22,False,False,False,SAME
W1,clip_2,A90,True,23,False,False,False,SAME
W1,clip_2,A90,True,24,True,True,True,SAME
W1,clip_2,A90,True,25,True,True,True,SAME
W1,clip_2,A90,True,26,True,True,True,SAME
W1,clip_2,A90,True,27,True,True,True,SAME
W1,clip_2,A90,True,28,True,True,True,SAME
W1,clip_2,A90,True,29,True,True,True,SAME
W1,clip_2,A90,True,30,True,True,True,SAME
W1,clip_2,A90,True,31,True,True,True,SAME
W1,clip_2,A90,True,32,True,True,True,SAME
W1,clip_2,A90,True,33,True,False,False,SAME
W1,clip_2,A90,True,34,True,False,True,NEW-ACCEPT
W1,clip_2,A90,True,35,True,False,False,SAME
W1,clip_2,A90,True,36,True,True,True,SAME
W1,clip_2,A90,True,37,True,True,True,SAME
W1,clip_2,A90,True,38,True,True,True,SAME
W1,clip_2,A90,True,39,True,False,False,SAME
W1,clip_2,A90,True,40,True,True,True,SAME
W1,clip_2,A90,True,41,False,False,False,SAME
W1,clip_2,A90,True,42,False,False,False,SAME
W1,clip_2,A90,True,43,True,True,True,SAME
W1,clip_2,A90,True,44,False,False,False,SAME
W1,clip_2,A90,True,45,True,True,True,SAME
W1,clip_2,"B(100,500)",True,12,True,True,True,SAME
W1,clip_2,"B(100,500)",True,13,True,True,True,SAME
W1,clip_2,"B(100,500)",True,14,True,True,True,SAME
W1,clip_2,"B(100,500)",True,15,False,False,False,SAME
W1,clip_2,"B(100,500)",True,16,True,True,True,SAME
W1,clip_2,"B(100,500)",True,17,True,True,True,SAME
W1,clip_2,"B(100,500)",True,18,False,False,False,SAME
W1,clip_2,"B(100,500)",True,19,False,False,False,SAME
W1,clip_2,"B(100,500)",True,20,True,True,True,SAME
W1,clip_2,"B(100,500)",True,21,False,False,False,SAME
W1,clip_2,"B(100,500)",True,22,False,False,False,SAME
W1,clip_2,"B(100,500)",True,23,False,False,False,SAME
W1,clip_2,"B(100,500)",True,24,True,True,True,SAME
W1,clip_2,"B(100,500)",True,25,True,True,True,SAME
W1,clip_2,"B(100,500)",True,26,True,True,True,SAME
W1,clip_2,"B(100,500)",True,27,True,True,True,SAME
W1,clip_2,"B(100,500)",True,28,True,True,True,SAME
W1,clip_2,"B(100,500)",True,29,True,True,True,SAME
W1,clip_2,"B(100,500)",True,30,True,True,True,SAME
W1,clip_2,"B(100,500)",True,31,True,True,True,SAME
W1,clip_2,"B(100,500)",True,32,True,True,True,SAME
W1,clip_2,"B(100,500)",True,33,True,False,False,SAME
W1,clip_2,"B(100,500)",True,34,True,False,False,SAME
W1,clip_2,"B(100,500)",True,35,True,False,False,SAME
W1,clip_2,"B(100,500)",True,36,True,True,False,NEW-REJECT
W1,clip_2,"B(100,500)",True,37,True,True,False,NEW-REJECT
W1,clip_2,"B(100,500)",True,38,True,True,False,NEW-REJECT
W1,clip_2,"B(100,500)",True,39,True,False,False,SAME
W1,clip_2,"B(100,500)",True,40,True,True,False,NEW-REJECT
W1,clip_2,"B(100,500)",True,41,False,False,False,SAME
W1,clip_2,"B(100,500)",True,42,False,False,False,SAME
W1,clip_2,"B(100,500)",True,43,True,True,False,NEW-REJECT
W1,clip_2,"B(100,500)",True,44,False,False,False,SAME
W1,clip_2,"B(100,500)",True,45,True,True,False,NEW-REJECT
W1,clip_2,"B(100,250)",True,12,True,True,True,SAME
W1,clip_2,"B(100,250)",True,13,True,True,True,SAME
W1,clip_2,"B(100,250)",True,14,True,True,True,SAME
W1,clip_2,"B(100,250)",True,15,False,False,False,SAME
W1,clip_2,"B(100,250)",True,16,True,True,True,SAME
W1,clip_2,"B(100,250)",True,17,True,True,True,SAME
W1,clip_2,"B(100,250)",True,18,False,False,False,SAME
W1,clip_2,"B(100,250)",True,19,False,False,False,SAME
