frame,abs_dx_px,scale_change
1,0.1026,0.000108
2,0.0252,0.000161
3,0.0278,0.000206
4,0.0519,0.000222
5,0.1015,0.000104
6,0.0198,9.4e-05
7,0.0204,9.2e-05
8,0.119,4.6e-05
9,0.117,7.9e-05
10,0.1739,0.0002
11,0.2969,0.000614
12,0.2652,0.000912
13,0.3159,0.001613
14,0.3418,0.001604
15,0.4301,0.001791
16,0.4178,0.001802
17,0.3638,0.002059
18,0.2906,0.002055
19,0.207,0.00248
20,0.0635,0.002966
21,0.1716,0.002796
22,0.286,0.002977
23,0.2968,0.002837
24,0.2991,0.003883
25,0.1951,0.004393
26,0.1095,0.004009
27,0.0275,0.004182
28,0.1139,0.003051
29,0.0394,0.00434
30,0.0736,0.004105
31,0.0484,0.004327
32,0.0412,0.004297
33,0.1734,0.004105
34,0.1088,0.003737
35,0.0251,0.004467
36,0.0723,0.004243
37,0.2389,0.004404
38,0.2326,0.004169
39,0.1618,0.004097
40,0.2211,0.004254
41,0.3757,0.00304
42,0.2894,0.003027
43,0.4048,0.003041
44,0.5528,0.003051
45,0.7457,0.002809
46,0.8052,0.002662
47,1.0181,0.002597
48,1.069,0.002789
49,0.9414,0.003587
50,0.8331,0.003003
51,0.6048,0.002823
52,0.4801,0.003257
53,0.4453,0.003182
54,0.3352,0.002706
55,0.2125,0.001609
56,0.0753,0.000426
57,0.0044,6.8e-05
58,0.1229,7.3e-05
59,0.385,7.3e-05
60,0.3441,9.8e-05
61,0.2798,1.9e-05
62,0.2139,4.2e-05
63,0.1667,0.000121
64,0.0934,1.6e-05
65,0.1689,4e-05
66,0.1539,3.5e-05
67,0.1418,0.000128
68,0.1955,0.000227
69,0.1171,1.4e-05
70,0.0628,5.8e-05
71,0.0622,9e-06
72,0.0206,0.000122
73,0.0056,5.3e-05
74,0.062,6.8e-05
75,0.2516,9.9e-05
76,0.0427,6.8e-05
77,0.0401,2e-06
78,0.0099,5.3e-05
79,0.0117,0.000113
80,0.0984,1.5e-05
81,0.127,5.8e-05
82,0.0056,0.000218
83,0.0579,4.7e-05
84,0.0288,3.8e-05
85,0.0773,0.000302
86,0.0408,9.7e-05
87,0.1776,0.000259
88,0.0567,0.000607
89,0.0163,0.001928
90,0.0564,0.003274
91,0.0693,0.004617
92,0.1851,0.004607
93,0.2443,0.004548
94,0.081,0.004203
95,0.0486,0.003997
96,0.1195,0.004208
97,0.051,0.004033
98,0.1009,0.003891
99,0.0064,0.003992
100,0.0191,0.003674
101,0.0206,0.003347
102,0.02,0.003033
103,0.0324,0.003343
104,0.0068,0.003072
105,0.0708,0.002934
106,0.0152,0.00302
107,0.0189,0.003338
108,0.0763,0.003043
109,0.2331,0.003071
110,0.1018,0.002879
111,0.0307,0.003032
112,0.2198,0.003073
113,0.1503,0.003172
114,0.2197,0.002663
115,0.117,0.002679
116,0.06,0.002536
117,0.155,0.002241
118,0.1284,0.002559
119,0.2035,0.002153
120,0.1573,0.001936
121,0.0994,0.001099
122,0.0857,0.000237
123,0.0125,1.2e-05
124,0.0909,5e-06
125,0.0701,1.4e-05
126,0.0123,8.9e-05
127,0.0243,4e-05
128,0.2141,0.000298
129,0.0398,0.000209
130,0.225,0.000106
131,0.1422,6.6e-05
132,0.2151,0.000155
133,0.489,0.000204
134,0.6167,0.000233
135,0.6709,0.000263
136,0.885,0.000237
137,0.9024,0.000357
138,1.1046,0.000311
139,1.3583,0.000189
140,1.5203,0.000116
141,1.5833,5e-05
142,1.7625,0.00063
143,1.7446,0.001671
144,1.7265,0.002428
145,2.1704,0.003391
146,2.1187,0.003137
147,2.3787,0.004659
148,2.4852,0.004725
149,2.7208,0.004461
150,3.0631,0.004754
151,3.3971,0.005209
152,3.5376,0.005431
153,3.9672,0.005664
154,3.9856,0.005198
155,4.7755,0.005925
156,4.9663,0.005646
157,5.4141,0.006193
158,5.7153,0.005595
159,6.1876,0.005622
160,6.7098,0.005416
161,7.1197,0.005503
162,7.6839,0.00551
163,8.1278,0.005231
164,8.4967,0.005737
165,8.5016,0.005731
166,8.5581,0.005629
167,8.3771,0.005745
168,8.1346,0.006234
169,7.9763,0.006241
170,7.6115,0.006089
171,7.0608,0.006461
172,6.6131,0.006667
173,6.1187,0.006546
