gap,clip,arm,TP,FP,FN,n_preds,f1
10,clip_1,predicted,0,1,0,1,0.0
10,clip_1,oracle,0,1,0,1,0.0
10,clip_2,predicted,0,3,4,3,0.0
10,clip_2,oracle,1,0,3,1,0.4
10,clip_3,predicted,1,5,2,6,0.2222222222222222
10,clip_3,oracle,1,2,2,3,0.3333333333333333
20,clip_1,predicted,0,1,0,1,0.0
20,clip_1,oracle,0,1,0,1,0.0
20,clip_2,predicted,0,3,4,3,0.0
20,clip_2,oracle,2,2,2,4,0.5
20,clip_3,predicted,2,7,1,9,0.3333333333333333
20,clip_3,oracle,1,2,2,3,0.3333333333333333
30,clip_1,predicted,0,1,0,1,0.0
30,clip_1,oracle,0,1,0,1,0.0
30,clip_2,predicted,0,4,4,4,0.0
30,clip_2,oracle,2,2,2,4,0.5
30,clip_3,predicted,2,7,1,9,0.3333333333333333
30,clip_3,oracle,1,2,2,3,0.3333333333333333
45,clip_1,predicted,0,1,0,1,0.0
45,clip_1,oracle,0,1,0,1,0.0
45,clip_2,predicted,0,4,4,4,0.0
45,clip_2,oracle,2,2,2,4,0.5
45,clip_3,predicted,2,7,1,9,0.3333333333333333
45,clip_3,oracle,1,3,2,4,0.2857142857142857
60,clip_1,predicted,0,1,0,1,0.0
60,clip_1,oracle,0,1,0,1,0.0
60,clip_2,predicted,0,4,4,4,0.0
60,clip_2,oracle,2,2,2,4,0.5
60,clip_3,predicted,2,7,1,9,0.3333333333333333
60,clip_3,oracle,1,3,2,4,0.2857142857142857
90,clip_1,predicted,0,1,0,1,0.0
90,clip_1,oracle,0,1,0,1,0.0
90,clip_2,predicted,0,4,4,4,0.0
90,clip_2,oracle,2,2,2,4,0.5
90,clip_3,predicted,2,7,1,9,0.3333333333333333
90,clip_3,oracle,1,3,2,4,0.2857142857142857
120,clip_1,predicted,0,1,0,1,0.0
120,clip_1,oracle,0,1,0,1,0.0
120,clip_2,predicted,0,4,4,4,0.0
120,clip_2,oracle,2,2,2,4,0.5
120,clip_3,predicted,2,7,1,9,0.3333333333333333
120,clip_3,oracle,1,3,2,4,0.2857142857142857
240,clip_1,predicted,0,1,0,1,0.0
240,clip_1,oracle,0,1,0,1,0.0
240,clip_2,predicted,0,4,4,4,0.0
240,clip_2,oracle,2,2,2,4,0.5
240,clip_3,predicted,2,7,1,9,0.3333333333333333
240,clip_3,oracle,1,3,2,4,0.2857142857142857
