clip,arm,tol,criterion,true_events,unrepresentable,TP,FP,FN,unclassified,precision,recall
clip_1,predicted,5,team,0,1,0,1,0,0,0.0,
clip_1,predicted,5,ids,0,1,0,1,0,0,0.0,
clip_1,predicted,10,team,0,1,0,1,0,0,0.0,
clip_1,predicted,10,ids,0,1,0,1,0,0,0.0,
clip_1,predicted,20,team,0,1,0,1,0,0,0.0,
clip_1,predicted,20,ids,0,1,0,1,0,0,0.0,
clip_1,oracle,5,team,0,1,0,1,0,0,0.0,
clip_1,oracle,5,ids,0,1,0,1,0,0,0.0,
clip_1,oracle,10,team,0,1,0,1,0,0,0.0,
clip_1,oracle,10,ids,0,1,0,1,0,0,0.0,
clip_1,oracle,20,team,0,1,0,1,0,0,0.0,
clip_1,oracle,20,ids,0,1,0,1,0,0,0.0,
clip_2,predicted,5,team,4,1,0,4,4,0,0.0,0.0
clip_2,predicted,5,ids,4,1,0,4,4,0,0.0,0.0
clip_2,predicted,10,team,4,1,0,4,4,0,0.0,0.0
clip_2,predicted,10,ids,4,1,0,4,4,0,0.0,0.0
clip_2,predicted,20,team,4,1,0,4,4,0,0.0,0.0
clip_2,predicted,20,ids,4,1,0,4,4,0,0.0,0.0
clip_2,oracle,5,team,4,1,2,2,2,0,0.5,0.5
clip_2,oracle,5,ids,4,1,1,3,3,0,0.25,0.25
clip_2,oracle,10,team,4,1,2,2,2,0,0.5,0.5
clip_2,oracle,10,ids,4,1,1,3,3,0,0.25,0.25
clip_2,oracle,20,team,4,1,3,1,1,0,0.75,0.75
clip_2,oracle,20,ids,4,1,3,1,1,0,0.75,0.75
clip_3,predicted,5,team,3,1,1,8,2,0,0.111,0.333
clip_3,predicted,5,ids,3,1,0,9,3,0,0.0,0.0
clip_3,predicted,10,team,3,1,2,7,1,0,0.222,0.667
clip_3,predicted,10,ids,3,1,0,9,3,0,0.0,0.0
clip_3,predicted,20,team,3,1,2,7,1,0,0.222,0.667
clip_3,predicted,20,ids,3,1,0,9,3,0,0.0,0.0
clip_3,oracle,5,team,3,1,0,3,3,0,0.0,0.0
clip_3,oracle,5,ids,3,1,0,3,3,0,0.0,0.0
clip_3,oracle,10,team,3,1,1,2,2,0,0.333,0.333
clip_3,oracle,10,ids,3,1,0,3,3,0,0.0,0.0
clip_3,oracle,20,team,3,1,1,2,2,0,0.333,0.333
clip_3,oracle,20,ids,3,1,1,2,2,0,0.333,0.333
