clip,frame,keypoint_index,confident_count,residual_m,residual_px,dlt_conditioning
clip_1,0,0,7,0.071715,1.295654,1.438473e-01
clip_1,0,1,7,0.062792,1.801155,1.464803e-01
clip_1,0,2,7,0.023259,0.508778,1.371269e-01
clip_1,0,3,7,0.040934,0.939526,1.222857e-01
clip_1,0,4,7,0.096837,2.683707,1.952324e-01
clip_1,1,0,7,0.076968,1.403364,1.439621e-01
clip_1,1,1,7,0.068752,1.989973,1.466716e-01
clip_1,1,2,7,0.027613,0.602719,1.372067e-01
clip_1,1,3,7,0.043967,0.976425,1.224158e-01
clip_1,1,4,7,0.103956,2.976296,1.949265e-01
clip_1,2,0,7,0.079270,1.448240,1.437887e-01
clip_1,2,1,7,0.071462,2.097177,1.465306e-01
clip_1,2,2,7,0.027744,0.590789,1.371221e-01
clip_1,2,3,7,0.041543,0.935209,1.223060e-01
clip_1,2,4,7,0.100385,2.981657,1.943822e-01
clip_1,3,0,7,0.063924,0.905502,1.414045e-01
clip_1,3,1,7,0.022531,0.625351,1.435444e-01
clip_1,3,2,7,0.111302,2.267900,1.369562e-01
clip_1,3,3,7,0.132454,2.898179,1.201419e-01
clip_1,3,4,7,0.208036,7.499699,1.922117e-01
clip_1,4,0,7,0.053986,0.770390,1.428607e-01
clip_1,4,1,7,0.018128,0.656382,1.449850e-01
clip_1,4,2,7,0.106217,2.165163,1.381463e-01
clip_1,4,3,7,0.130482,2.991718,1.209770e-01
clip_1,4,4,7,0.201193,6.692574,1.925212e-01
clip_1,5,0,6,0.082931,1.718276,1.991677e-01
clip_1,5,1,6,0.070343,1.922613,2.116162e-01
clip_1,5,2,6,0.023968,0.482829,1.443638e-01
clip_1,5,3,6,0.010120,0.610923,1.702841e-01
clip_1,6,0,7,0.047459,0.797958,1.431352e-01
clip_1,6,1,7,0.017770,0.445304,1.451501e-01
clip_1,6,2,7,0.089477,1.797603,1.384812e-01
clip_1,6,3,7,0.125732,3.322223,1.209790e-01
clip_1,6,4,7,0.189911,5.460642,1.927566e-01
clip_1,7,0,6,0.048145,0.716169,1.966966e-01
clip_1,7,1,6,0.016393,0.600539,2.082843e-01
clip_1,7,2,6,0.077231,1.539495,1.444099e-01
clip_1,7,3,6,0.125207,4.122144,1.712572e-01
clip_1,8,0,6,0.092995,1.548020,1.975048e-01
clip_1,8,1,6,0.060575,1.303035,2.093471e-01
clip_1,8,2,6,0.031179,1.061174,1.445535e-01
clip_1,8,3,6,0.075561,4.277730,1.715183e-01
clip_1,9,0,6,0.041533,0.730379,1.964019e-01
clip_1,9,1,6,0.011634,0.498271,2.078526e-01
clip_1,9,2,6,0.075124,1.685305,1.440997e-01
clip_1,9,3,6,0.116656,4.690999,1.713240e-01
clip_1,10,0,6,0.035380,0.669247,1.981846e-01
clip_1,10,1,6,0.008541,0.494389,2.096597e-01
clip_1,10,2,6,0.076282,1.674304,1.450566e-01
clip_1,10,3,6,0.116292,4.501900,1.708175e-01
clip_1,11,0,6,0.032880,0.734299,1.977531e-01
clip_1,11,1,6,0.008507,0.552176,2.091602e-01
clip_1,11,2,6,0.078352,1.750972,1.447186e-01
clip_1,11,3,6,0.117461,4.720304,1.706155e-01
clip_1,12,0,6,0.029749,0.793311,1.983299e-01
clip_1,12,1,6,0.010236,0.665177,2.096922e-01
clip_1,12,2,6,0.076818,1.688998,1.448770e-01
clip_1,12,3,6,0.114031,4.512095,1.705311e-01
clip_1,13,0,6,0.032190,0.770283,1.986207e-01
clip_1,13,1,6,0.010333,0.675545,2.099903e-01
clip_1,13,2,6,0.077531,1.670761,1.449647e-01
clip_1,13,3,6,0.116601,4.444526,1.706476e-01
clip_1,14,0,7,0.039793,0.553203,5.148989e-02
clip_1,14,1,7,0.013256,0.767249,5.769611e-02
clip_1,14,2,7,0.062051,1.105435,5.449350e-02
clip_1,14,3,7,0.181752,6.045776,5.833233e-02
clip_1,14,7,7,0.379183,21.505646,1.937935e-01
clip_1,14,8,7,0.116284,2.971128,5.744054e-02
clip_1,14,9,7,0.216115,8.909873,2.558992e-02
clip_1,15,0,7,0.043519,0.637842,5.208556e-02
clip_1,15,1,7,0.015369,0.766415,5.837475e-02
