clip,frame,keypoint_index,displacement_px
clip_1,1,0,2.791353
clip_1,1,1,2.654707
clip_1,1,2,2.875769
clip_1,1,3,3.035268
clip_1,1,4,2.644221
clip_1,1,8,1.337905
clip_1,1,9,1.396796
clip_1,2,0,5.165682
clip_1,2,1,5.119449
clip_1,2,2,5.414385
clip_1,2,3,5.877081
clip_1,2,4,6.039819
clip_1,2,8,3.699724
clip_1,2,9,3.859892
clip_1,3,0,4.442466
clip_1,3,1,4.635350
clip_1,3,2,1.886650
clip_1,3,3,5.027157
clip_1,3,4,4.164606
clip_1,3,8,7.316439
clip_1,3,9,7.221751
clip_1,4,0,6.425121
clip_1,4,1,6.276301
clip_1,4,2,5.797623
clip_1,4,3,5.706469
clip_1,4,4,4.950323
clip_1,4,8,4.565734
clip_1,4,9,3.920669
clip_1,5,0,5.594553
clip_1,5,1,4.293684
clip_1,5,2,6.290190
clip_1,5,3,6.509056
clip_1,5,8,5.432095
clip_1,5,9,6.743126
clip_1,6,0,4.976781
clip_1,6,1,5.748535
clip_1,6,2,3.163945
clip_1,6,3,5.629805
clip_1,6,8,5.366535
clip_1,6,9,4.537858
clip_1,7,0,4.497369
clip_1,7,1,4.566991
clip_1,7,2,5.643293
clip_1,7,3,7.887862
clip_1,7,8,6.178919
clip_1,7,9,7.386067
clip_1,8,0,7.694272
clip_1,8,1,7.247488
clip_1,8,2,8.973462
clip_1,8,3,11.195306
clip_1,8,8,7.002884
clip_1,8,9,8.086833
clip_1,9,0,7.556652
clip_1,9,1,8.049588
clip_1,9,2,6.755422
clip_1,9,3,6.767678
clip_1,9,8,7.389372
clip_1,9,9,6.945344
clip_1,10,0,9.224647
clip_1,10,1,9.063330
clip_1,10,2,8.211644
clip_1,10,3,6.782539
clip_1,10,8,9.492387
clip_1,10,9,8.675493
clip_1,11,0,10.750760
clip_1,11,1,10.613938
clip_1,11,2,10.496622
clip_1,11,3,10.744720
clip_1,11,8,10.084534
clip_1,11,9,9.581616
clip_1,12,0,11.121953
clip_1,12,1,10.965430
clip_1,12,2,10.976272
clip_1,12,3,10.907187
clip_1,12,8,11.448786
clip_1,12,9,11.090386
clip_1,13,0,10.532687
clip_1,13,1,10.591533
clip_1,13,2,10.874256
clip_1,13,3,11.292040
clip_1,13,8,10.773363
clip_1,13,9,10.813995
clip_1,14,0,12.885948
clip_1,14,1,12.847156
clip_1,14,2,13.227811
clip_1,14,3,13.443425
clip_1,14,8,12.988365
clip_1,14,9,12.580587
clip_1,15,0,13.539491
clip_1,15,1,13.568855
clip_1,15,2,13.444065
clip_1,15,3,12.370429
clip_1,15,7,14.897814
clip_1,15,8,13.175400
clip_1,15,9,12.795979
clip_1,16,0,14.797961
clip_1,16,1,14.574057
clip_1,16,2,14.793488
clip_1,16,3,14.475287
clip_1,16,7,5.695861
clip_1,16,8,15.108557
clip_1,16,9,14.238861
clip_1,17,0,13.435294
clip_1,17,1,13.842266
clip_1,17,2,14.978683
clip_1,17,3,15.738649
clip_1,17,6,11.963321
clip_1,17,7,10.107726
clip_1,17,8,15.821786
clip_1,17,9,16.687970
clip_1,18,0,12.089390
clip_1,18,1,12.546922
clip_1,18,2,14.870799
clip_1,18,3,17.060018
clip_1,18,6,11.424285
clip_1,18,7,10.674139
clip_1,18,8,13.369706
clip_1,18,9,15.741571
clip_1,19,0,17.805247
clip_1,19,1,18.006384
clip_1,19,2,18.002608
clip_1,19,6,13.493209
clip_1,19,7,12.705825
clip_1,19,8,15.538356
clip_1,19,9,14.963626
clip_1,20,0,15.862434
clip_1,20,1,16.120376
clip_1,20,2,16.284031
clip_1,20,6,19.594437
clip_1,20,7,20.112533
clip_1,20,8,15.219880
clip_1,20,9,15.718405
clip_1,21,0,16.037038
clip_1,21,1,16.510390
clip_1,21,2,18.563686
clip_1,21,6,11.012085
clip_1,21,7,11.040825
clip_1,21,8,16.560346
clip_1,21,9,18.576095
clip_1,22,0,18.293522
clip_1,22,1,18.552553
clip_1,22,2,19.049179
clip_1,22,6,17.732101
