clip,frame,confident_count,reaches_4,reaches_5
clip_1,0,7,True,True
clip_1,1,7,True,True
clip_1,2,7,True,True
clip_1,3,7,True,True
clip_1,4,7,True,True
clip_1,5,6,True,True
clip_1,6,7,True,True
clip_1,7,6,True,True
clip_1,8,6,True,True
clip_1,9,6,True,True
clip_1,10,6,True,True
clip_1,11,6,True,True
clip_1,12,6,True,True
clip_1,13,6,True,True
clip_1,14,7,True,True
clip_1,15,7,True,True
clip_1,16,8,True,True
clip_1,17,8,True,True
clip_1,18,8,True,True
clip_1,19,7,True,True
clip_1,20,7,True,True
clip_1,21,7,True,True
clip_1,22,7,True,True
clip_1,23,7,True,True
clip_1,24,7,True,True
clip_1,25,7,True,True
clip_1,26,6,True,True
clip_1,27,6,True,True
clip_1,28,6,True,True
clip_1,29,6,True,True
clip_1,30,5,True,True
clip_1,31,5,True,True
clip_1,32,4,True,False
clip_1,33,4,True,False
clip_1,34,4,True,False
clip_1,35,4,True,False
clip_1,36,3,False,False
clip_1,37,4,True,False
clip_1,38,4,True,False
clip_1,39,3,False,False
clip_1,40,3,False,False
clip_1,41,3,False,False
clip_1,42,2,False,False
clip_1,43,2,False,False
clip_1,44,2,False,False
clip_1,45,2,False,False
clip_1,46,3,False,False
clip_1,47,3,False,False
clip_1,48,4,True,False
clip_1,49,4,True,False
clip_1,50,4,True,False
clip_1,51,4,True,False
clip_1,52,4,True,False
clip_1,53,4,True,False
clip_1,54,4,True,False
clip_1,55,4,True,False
clip_1,56,4,True,False
clip_1,57,4,True,False
clip_1,58,5,True,True
clip_1,59,6,True,True
clip_1,60,6,True,True
clip_1,61,6,True,True
clip_1,62,6,True,True
clip_1,63,6,True,True
clip_1,64,6,True,True
clip_1,65,6,True,True
clip_1,66,7,True,True
clip_1,67,7,True,True
clip_1,68,7,True,True
clip_1,69,7,True,True
clip_1,70,6,True,True
clip_1,71,7,True,True
clip_1,72,7,True,True
clip_1,73,7,True,True
clip_1,74,6,True,True
clip_1,75,6,True,True
clip_1,76,7,True,True
clip_1,77,6,True,True
clip_1,78,6,True,True
clip_1,79,6,True,True
clip_1,80,6,True,True
clip_1,81,6,True,True
clip_1,82,6,True,True
clip_1,83,6,True,True
clip_1,84,6,True,True
clip_1,85,6,True,True
clip_1,86,6,True,True
clip_1,87,6,True,True
clip_1,88,6,True,True
clip_1,89,7,True,True
clip_1,90,7,True,True
clip_1,91,7,True,True
clip_1,92,7,True,True
clip_1,93,7,True,True
clip_1,94,7,True,True
clip_1,95,7,True,True
clip_1,96,7,True,True
clip_1,97,7,True,True
clip_1,98,7,True,True
clip_1,99,7,True,True
clip_1,100,7,True,True
clip_1,101,7,True,True
clip_1,102,7,True,True
clip_1,103,7,True,True
clip_1,104,7,True,True
clip_1,105,7,True,True
clip_1,106,7,True,True
clip_1,107,7,True,True
clip_1,108,7,True,True
clip_1,109,7,True,True
clip_1,110,7,True,True
clip_1,111,7,True,True
clip_1,112,7,True,True
clip_1,113,7,True,True
clip_1,114,7,True,True
clip_1,115,7,True,True
clip_1,116,7,True,True
clip_2,0,8,True,True
clip_2,1,8,True,True
clip_2,2,8,True,True
clip_2,3,8,True,True
clip_2,4,8,True,True
clip_2,5,8,True,True
clip_2,6,7,True,True
clip_2,7,7,True,True
clip_2,8,7,True,True
clip_2,9,7,True,True
clip_2,10,8,True,True
clip_2,11,8,True,True
clip_2,12,7,True,True
clip_2,13,7,True,True
clip_2,14,7,True,True
clip_2,15,7,True,True
clip_2,16,7,True,True
clip_2,17,7,True,True
clip_2,18,7,True,True
clip_2,19,7,True,True
clip_2,20,7,True,True
clip_2,21,7,True,True
clip_2,22,7,True,True
clip_2,23,7,True,True
clip_2,24,7,True,True
clip_2,25,7,True,True
clip_2,26,7,True,True
clip_2,27,7,True,True
clip_2,28,7,True,True
clip_2,29,7,True,True
clip_2,30,7,True,True
