method,variant,crop_fraction,clip,path
fashionclip,A_generic,0.5,clip_1,data/outputs/inference_grid/fashionclip_A_generic_crop0.5_clip_1.csv
fashionclip,B_domain,0.5,clip_1,data/outputs/inference_grid/fashionclip_B_domain_crop0.5_clip_1.csv
fashionclip,C_nba,0.5,clip_1,data/outputs/inference_grid/fashionclip_C_nba_crop0.5_clip_1.csv
kmeans,,0.5,clip_1,data/outputs/inference_grid/kmeans_crop0.5_clip_1.csv
embedding,,0.5,clip_1,data/outputs/inference_grid/embedding_crop0.5_clip_1.csv
fashionclip,A_generic,0.5,clip_2,data/outputs/inference_grid/fashionclip_A_generic_crop0.5_clip_2.csv
fashionclip,B_domain,0.5,clip_2,data/outputs/inference_grid/fashionclip_B_domain_crop0.5_clip_2.csv
fashionclip,C_nba,0.5,clip_2,data/outputs/inference_grid/fashionclip_C_nba_crop0.5_clip_2.csv
kmeans,,0.5,clip_2,data/outputs/inference_grid/kmeans_crop0.5_clip_2.csv
embedding,,0.5,clip_2,data/outputs/inference_grid/embedding_crop0.5_clip_2.csv
fashionclip,A_generic,0.5,clip_3,data/outputs/inference_grid/fashionclip_A_generic_crop0.5_clip_3.csv
fashionclip,B_domain,0.5,clip_3,data/outputs/inference_grid/fashionclip_B_domain_crop0.5_clip_3.csv
fashionclip,C_nba,0.5,clip_3,data/outputs/inference_grid/fashionclip_C_nba_crop0.5_clip_3.csv
kmeans,,0.5,clip_3,data/outputs/inference_grid/kmeans_crop0.5_clip_3.csv
embedding,,0.5,clip_3,data/outputs/inference_grid/embedding_crop0.5_clip_3.csv
fashionclip,A_generic,0.667,clip_1,data/outputs/inference_grid/fashionclip_A_generic_crop0.667_clip_1.csv
fashionclip,B_domain,0.667,clip_1,data/outputs/inference_grid/fashionclip_B_domain_crop0.667_clip_1.csv
fashionclip,C_nba,0.667,clip_1,data/outputs/inference_grid/fashionclip_C_nba_crop0.667_clip_1.csv
kmeans,,0.667,clip_1,data/outputs/inference_grid/kmeans_crop0.667_clip_1.csv
embedding,,0.667,clip_1,data/outputs/inference_grid/embedding_crop0.667_clip_1.csv
fashionclip,A_generic,0.667,clip_2,data/outputs/inference_grid/fashionclip_A_generic_crop0.667_clip_2.csv
fashionclip,B_domain,0.667,clip_2,data/outputs/inference_grid/fashionclip_B_domain_crop0.667_clip_2.csv
fashionclip,C_nba,0.667,clip_2,data/outputs/inference_grid/fashionclip_C_nba_crop0.667_clip_2.csv
kmeans,,0.667,clip_2,data/outputs/inference_grid/kmeans_crop0.667_clip_2.csv
embedding,,0.667,clip_2,data/outputs/inference_grid/embedding_crop0.667_clip_2.csv
fashionclip,A_generic,0.667,clip_3,data/outputs/inference_grid/fashionclip_A_generic_crop0.667_clip_3.csv
fashionclip,B_domain,0.667,clip_3,data/outputs/inference_grid/fashionclip_B_domain_crop0.667_clip_3.csv
fashionclip,C_nba,0.667,clip_3,data/outputs/inference_grid/fashionclip_C_nba_crop0.667_clip_3.csv
kmeans,,0.667,clip_3,data/outputs/inference_grid/kmeans_crop0.667_clip_3.csv
embedding,,0.667,clip_3,data/outputs/inference_grid/embedding_crop0.667_clip_3.csv
fashionclip,A_generic,0.85,clip_1,data/outputs/inference_grid/fashionclip_A_generic_crop0.85_clip_1.csv
fashionclip,B_domain,0.85,clip_1,data/outputs/inference_grid/fashionclip_B_domain_crop0.85_clip_1.csv
fashionclip,C_nba,0.85,clip_1,data/outputs/inference_grid/fashionclip_C_nba_crop0.85_clip_1.csv
kmeans,,0.85,clip_1,data/outputs/inference_grid/kmeans_crop0.85_clip_1.csv
embedding,,0.85,clip_1,data/outputs/inference_grid/embedding_crop0.85_clip_1.csv
fashionclip,A_generic,0.85,clip_2,data/outputs/inference_grid/fashionclip_A_generic_crop0.85_clip_2.csv
fashionclip,B_domain,0.85,clip_2,data/outputs/inference_grid/fashionclip_B_domain_crop0.85_clip_2.csv
fashionclip,C_nba,0.85,clip_2,data/outputs/inference_grid/fashionclip_C_nba_crop0.85_clip_2.csv
kmeans,,0.85,clip_2,data/outputs/inference_grid/kmeans_crop0.85_clip_2.csv
embedding,,0.85,clip_2,data/outputs/inference_grid/embedding_crop0.85_clip_2.csv
fashionclip,A_generic,0.85,clip_3,data/outputs/inference_grid/fashionclip_A_generic_crop0.85_clip_3.csv
fashionclip,B_domain,0.85,clip_3,data/outputs/inference_grid/fashionclip_B_domain_crop0.85_clip_3.csv
fashionclip,C_nba,0.85,clip_3,data/outputs/inference_grid/fashionclip_C_nba_crop0.85_clip_3.csv
kmeans,,0.85,clip_3,data/outputs/inference_grid/kmeans_crop0.85_clip_3.csv
embedding,,0.85,clip_3,data/outputs/inference_grid/embedding_crop0.85_clip_3.csv
fashionclip,A_generic,1.0,clip_1,data/outputs/inference_grid/fashionclip_A_generic_crop1.0_clip_1.csv
fashionclip,B_domain,1.0,clip_1,data/outputs/inference_grid/fashionclip_B_domain_crop1.0_clip_1.csv
fashionclip,C_nba,1.0,clip_1,data/outputs/inference_grid/fashionclip_C_nba_crop1.0_clip_1.csv
kmeans,,1.0,clip_1,data/outputs/inference_grid/kmeans_crop1.0_clip_1.csv
embedding,,1.0,clip_1,data/outputs/inference_grid/embedding_crop1.0_clip_1.csv
fashionclip,A_generic,1.0,clip_2,data/outputs/inference_grid/fashionclip_A_generic_crop1.0_clip_2.csv
fashionclip,B_domain,1.0,clip_2,data/outputs/inference_grid/fashionclip_B_domain_crop1.0_clip_2.csv
fashionclip,C_nba,1.0,clip_2,data/outputs/inference_grid/fashionclip_C_nba_crop1.0_clip_2.csv
kmeans,,1.0,clip_2,data/outputs/inference_grid/kmeans_crop1.0_clip_2.csv
embedding,,1.0,clip_2,data/outputs/inference_grid/embedding_crop1.0_clip_2.csv
fashionclip,A_generic,1.0,clip_3,data/outputs/inference_grid/fashionclip_A_generic_crop1.0_clip_3.csv
fashionclip,B_domain,1.0,clip_3,data/outputs/inference_grid/fashionclip_B_domain_crop1.0_clip_3.csv
fashionclip,C_nba,1.0,clip_3,data/outputs/inference_grid/fashionclip_C_nba_crop1.0_clip_3.csv
kmeans,,1.0,clip_3,data/outputs/inference_grid/kmeans_crop1.0_clip_3.csv
embedding,,1.0,clip_3,data/outputs/inference_grid/embedding_crop1.0_clip_3.csv
