method,variant,crop_fraction,policy,held_out,threshold,train_eff_acc,test_eff_acc,test_acc,n_decided,abstain_pct
fashionclip,A_generic,0.5,none,clip_1,0.5053,0.9501,0.7591,0.7591,137,0.0
fashionclip,A_generic,0.5,none,clip_2,0.5093,0.9322,0.9172,0.9172,314,0.0
fashionclip,A_generic,0.5,none,clip_3,0.5069,0.8692,0.9639,0.9639,748,0.0
fashionclip,A_generic,0.5,memoise_reset,clip_1,0.5053,0.8889,0.8686,0.8686,137,0.0
fashionclip,A_generic,0.5,memoise_reset,clip_2,0.5093,0.8655,0.9459,0.9459,314,0.0
fashionclip,A_generic,0.5,memoise_reset,clip_3,0.5069,0.9224,0.865,0.865,748,0.0
fashionclip,A_generic,0.5,track_majority,clip_1,0.5053,0.9284,0.6569,0.6569,137,0.0
fashionclip,A_generic,0.5,track_majority,clip_2,0.5093,0.8621,0.9968,0.9968,314,0.0
fashionclip,A_generic,0.5,track_majority,clip_3,0.5069,0.8936,0.8997,0.8997,748,0.0
fashionclip,A_generic,0.5,window_weighted,clip_1,0.5053,0.9708,0.7299,0.7299,137,0.0
fashionclip,A_generic,0.5,window_weighted,clip_2,0.5093,0.9379,0.9586,0.9586,314,0.0
fashionclip,A_generic,0.5,window_weighted,clip_3,0.5069,0.8891,0.9759,0.9759,748,0.0
fashionclip,B_domain,0.5,none,clip_1,0.5036,0.9529,0.7591,0.7591,137,0.0
fashionclip,B_domain,0.5,none,clip_2,0.5031,0.9401,0.9045,0.9045,314,0.0
fashionclip,B_domain,0.5,none,clip_3,0.5033,0.8603,0.9733,0.9746,747,0.1
fashionclip,B_domain,0.5,memoise_reset,clip_1,0.5036,0.904,0.8686,0.8686,137,0.0
fashionclip,B_domain,0.5,memoise_reset,clip_2,0.5031,0.8881,0.9331,0.9331,314,0.0
fashionclip,B_domain,0.5,memoise_reset,clip_3,0.5033,0.9135,0.8917,0.8929,747,0.1
fashionclip,B_domain,0.5,track_majority,clip_1,0.5036,0.9275,0.8029,0.8029,137,0.0
fashionclip,B_domain,0.5,track_majority,clip_2,0.5031,0.8836,0.9968,0.9968,314,0.0
fashionclip,B_domain,0.5,track_majority,clip_3,0.5033,0.9379,0.8984,0.8996,747,0.1
fashionclip,B_domain,0.5,window_weighted,clip_1,0.5036,0.9746,0.7372,0.7372,137,0.0
fashionclip,B_domain,0.5,window_weighted,clip_2,0.5031,0.9424,0.9618,0.9618,314,0.0
fashionclip,B_domain,0.5,window_weighted,clip_3,0.5033,0.8936,0.9799,0.9813,747,0.1
fashionclip,C_nba,0.5,none,clip_1,0.5087,0.9576,0.8029,0.8088,136,0.7
fashionclip,C_nba,0.5,none,clip_2,0.5059,0.9492,0.914,0.914,314,0.0
fashionclip,C_nba,0.5,none,clip_3,0.5064,0.8803,0.9759,0.9772,747,0.1
fashionclip,C_nba,0.5,memoise_reset,clip_1,0.5087,0.903,0.8686,0.875,136,0.7
fashionclip,C_nba,0.5,memoise_reset,clip_2,0.5059,0.8881,0.9331,0.9331,314,0.0
fashionclip,C_nba,0.5,memoise_reset,clip_3,0.5064,0.9135,0.8917,0.8929,747,0.1
fashionclip,C_nba,0.5,track_majority,clip_1,0.5087,0.9275,0.7956,0.8015,136,0.7
fashionclip,C_nba,0.5,track_majority,clip_2,0.5059,0.8825,0.9968,0.9968,314,0.0
fashionclip,C_nba,0.5,track_majority,clip_3,0.5064,0.9357,0.8984,0.8996,747,0.1
fashionclip,C_nba,0.5,window_weighted,clip_1,0.5087,0.9736,0.7737,0.7794,136,0.7
fashionclip,C_nba,0.5,window_weighted,clip_2,0.5059,0.9469,0.965,0.965,314,0.0
fashionclip,C_nba,0.5,window_weighted,clip_3,0.5064,0.9069,0.9786,0.9799,747,0.1
kmeans,,0.5,none,clip_1,0.5014,0.7269,0.5401,0.5401,137,0.0
kmeans,,0.5,none,clip_2,0.5014,0.6927,0.742,0.7444,313,0.3
kmeans,,0.5,none,clip_3,0.5012,0.6807,0.7206,0.7216,747,0.1
kmeans,,0.5,memoise_reset,clip_1,0.5014,0.7411,0.5839,0.5839,137,0.0
kmeans,,0.5,memoise_reset,clip_2,0.5014,0.722,0.7261,0.7284,313,0.3
kmeans,,0.5,memoise_reset,clip_3,0.5012,0.6829,0.7473,0.7483,747,0.1
kmeans,,0.5,track_majority,clip_1,0.5014,0.7693,0.5985,0.5985,137,0.0
kmeans,,0.5,track_majority,clip_2,0.5014,0.7661,0.7038,0.7061,313,0.3
kmeans,,0.5,track_majority,clip_3,0.5012,0.6718,0.7968,0.7979,747,0.1
