config,clip,switch_frame
production,clip_1,110
production,clip_2,110
production,clip_3,40
production,clip_3,90
production,clip_3,110
production,clip_3,130
production,clip_3,150
production,clip_3,210
production,clip_3,230
production,clip_3,240
players_pt,clip_1,50
players_pt,clip_1,110
players_pt,clip_2,30
players_pt,clip_2,40
players_pt,clip_2,120
players_pt,clip_2,130
players_pt,clip_2,170
players_pt,clip_3,30
players_pt,clip_3,40
players_pt,clip_3,70
players_pt,clip_3,100
players_pt,clip_3,140
players_pt,clip_3,150
players_pt,clip_3,210
players_pt,clip_3,240
lowscore_025,clip_1,110
lowscore_025,clip_2,110
lowscore_025,clip_3,40
lowscore_025,clip_3,90
lowscore_025,clip_3,110
lowscore_025,clip_3,130
lowscore_025,clip_3,150
lowscore_025,clip_3,210
lowscore_025,clip_3,220
lowscore_025,clip_3,230
lowscore_025,clip_3,240
lowscore_010,clip_1,110
lowscore_010,clip_2,110
lowscore_010,clip_2,170
lowscore_010,clip_3,40
lowscore_010,clip_3,90
lowscore_010,clip_3,110
lowscore_010,clip_3,130
lowscore_010,clip_3,150
lowscore_010,clip_3,210
lowscore_010,clip_3,220
lowscore_010,clip_3,230
lowscore_010,clip_3,240
mcf1,clip_1,10
mcf1,clip_1,110
mcf1,clip_2,10
mcf1,clip_2,70
mcf1,clip_2,110
mcf1,clip_2,130
mcf1,clip_2,140
mcf1,clip_3,40
mcf1,clip_3,50
mcf1,clip_3,90
mcf1,clip_3,110
mcf1,clip_3,140
mcf1,clip_3,150
mcf1,clip_3,210
mcf1,clip_3,230
mcf1,clip_3,240
