epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1587,1.52234,3.52988,1.4956,0.81771,0.36641,0.40228,0.26028,1.04652,2.74498,1.10723,6.363e-05,6.363e-05,6.363e-05
2,25.6709,1.10696,1.59884,1.18221,0.60743,0.61151,0.65073,0.40777,1.04189,4.83161,1.13015,0.000135,0.000135,0.000135
3,37.8309,1.03008,1.03989,1.13832,0.7017,0.79182,0.72555,0.46076,1.05253,4.73116,1.20177,0.00020493,0.00020493,0.00020493
4,49.4097,1.01682,0.8863,1.12121,0.61427,0.72926,0.59975,0.37632,1.20306,3.48492,1.29616,0.000273421,0.000273421,0.000273421
5,60.0317,1.05267,0.93791,1.14041,0.32576,0.51951,0.30075,0.17758,1.33139,18.6886,1.83603,0.000340471,0.000340471,0.000340471
6,70.528,1.02503,0.84508,1.14005,0.61355,0.68249,0.63424,0.39306,1.15627,8.13719,1.39539,0.000406082,0.000406082,0.000406082
7,81.0535,1.02056,0.81387,1.13556,0.52269,0.79696,0.56407,0.36566,1.12745,9.38808,1.27831,0.000470253,0.000470253,0.000470253
8,91.4361,1.02122,0.8052,1.12433,0.69232,0.79729,0.71352,0.46725,1.12254,4.74183,1.30895,0.000532984,0.000532984,0.000532984
9,102.722,0.98047,0.76832,1.10526,0.54959,0.49206,0.50986,0.33861,1.6467,16.0237,1.71514,0.000594275,0.000594275,0.000594275
10,112.496,0.92642,0.71874,1.09581,0.78042,0.70411,0.76819,0.5145,1.08268,1.83791,1.31003,0.000654126,0.000654126,0.000654126
11,124.164,0.94009,0.69729,1.08699,0.68186,0.66709,0.68302,0.49524,1.11389,2.04764,1.28872,0.000712538,0.000712538,0.000712538
12,134.003,0.97132,0.74412,1.11788,0.52494,0.64909,0.5368,0.3396,1.30798,2.86426,1.44141,0.000769509,0.000769509,0.000769509
13,144.261,0.96293,0.74059,1.10991,0.66266,0.52531,0.56245,0.3229,1.34448,3.04596,1.5249,0.000801011,0.000801011,0.000801011
14,154.649,0.96755,0.7704,1.10523,0.57574,0.69369,0.63496,0.42206,1.36038,2.56456,1.62851,0.000792012,0.000792012,0.000792012
15,164.93,0.93094,0.71799,1.09204,0.67836,0.66563,0.71366,0.47152,1.18158,2.86184,1.33789,0.000783013,0.000783013,0.000783013
16,175.149,0.96565,0.72838,1.11116,0.76482,0.69637,0.75982,0.55727,1.15523,2.33516,1.43161,0.000774013,0.000774013,0.000774013
17,186.163,0.93863,0.71409,1.10304,0.75865,0.63607,0.73363,0.52641,1.1932,3.27677,1.40679,0.000765014,0.000765014,0.000765014
18,196.063,0.9129,0.68151,1.09401,0.79827,0.76145,0.79472,0.58168,1.10056,2.30626,1.32423,0.000756015,0.000756015,0.000756015
19,206.745,0.96064,0.70999,1.11691,0.71713,0.79021,0.81775,0.60183,1.04974,1.373,1.26311,0.000747016,0.000747016,0.000747016
20,216.942,0.88445,0.64426,1.06316,0.80426,0.76213,0.86526,0.60138,1.06604,1.26033,1.23976,0.000738017,0.000738017,0.000738017
21,227.23,0.90046,0.66692,1.06865,0.77678,0.76624,0.78942,0.53403,1.06246,1.05098,1.24357,0.000729018,0.000729018,0.000729018
22,237.606,0.85895,0.63028,1.05099,0.83435,0.75635,0.8123,0.59336,1.01413,1.08913,1.21904,0.000720019,0.000720019,0.000720019
23,247.835,0.89433,0.64951,1.07886,0.82471,0.78775,0.86619,0.63043,0.97276,1.09867,1.16689,0.00071102,0.00071102,0.00071102
24,258.799,0.87659,0.62257,1.06645,0.8315,0.86244,0.88754,0.64034,0.99689,0.85783,1.19774,0.000702021,0.000702021,0.000702021
25,268.993,0.83926,0.60317,1.04434,0.84351,0.7708,0.85488,0.62728,0.98083,0.94194,1.15783,0.000693022,0.000693022,0.000693022
26,278.251,0.86252,0.60942,1.04852,0.90929,0.86505,0.92456,0.68248,0.919,0.91781,1.11852,0.000684022,0.000684022,0.000684022
27,288.393,0.83768,0.58661,1.03076,0.88603,0.86762,0.91819,0.69568,0.92587,0.73711,1.09414,0.000675023,0.000675023,0.000675023
28,297.922,0.8207,0.56888,1.03213,0.90695,0.86655,0.90436,0.69004,0.96835,0.82845,1.11106,0.000666024,0.000666024,0.000666024
29,307.02,0.80025,0.55456,1.03625,0.90476,0.88786,0.91514,0.69505,0.93665,0.66683,1.09109,0.000657025,0.000657025,0.000657025
30,316.022,0.79203,0.5432,1.01071,0.93517,0.8688,0.9208,0.70604,0.90855,0.63371,1.08934,0.000648026,0.000648026,0.000648026
31,325.704,0.81691,0.56243,1.03449,0.90271,0.88441,0.91854,0.71987,0.88489,0.65888,1.07789,0.000639027,0.000639027,0.000639027
32,335.521,0.80419,0.55571,1.01388,0.91243,0.83679,0.9195,0.70759,0.91776,0.66126,1.1085,0.000630028,0.000630028,0.000630028
33,345.189,0.80112,0.55978,1.0146,0.95026,0.85151,0.91976,0.71131,0.93604,0.65567,1.12908,0.000621029,0.000621029,0.000621029
34,354.064,0.80344,0.54982,1.03159,0.91416,0.86303,0.9101,0.70059,0.90659,0.6128,1.09613,0.00061203,0.00061203,0.00061203
35,362.613,0.7665,0.52959,1.01025,0.91546,0.88148,0.91282,0.70988,0.84843,0.57622,1.06645,0.000603031,0.000603031,0.000603031
36,371.548,0.74971,0.52747,1.00619,0.91462,0.86661,0.91577,0.69628,0.90733,0.58727,1.1161,0.000594031,0.000594031,0.000594031
37,380.347,0.74139,0.51242,0.99669,0.90338,0.87898,0.91777,0.71415,0.88383,0.57858,1.11187,0.000585032,0.000585032,0.000585032
38,388.629,0.75196,0.51439,0.99965,0.93092,0.88032,0.92601,0.71385,0.86261,0.54136,1.09159,0.000576033,0.000576033,0.000576033
39,397.069,0.75742,0.51111,0.9949,0.90621,0.88427,0.92994,0.71954,0.87723,0.55485,1.11177,0.000567034,0.000567034,0.000567034
40,405.887,0.73047,0.50025,0.9808,0.95636,0.85564,0.91757,0.71804,0.86871,0.54941,1.11536,0.000558035,0.000558035,0.000558035
41,414.502,0.73939,0.49988,0.98113,0.92052,0.89768,0.90727,0.70759,0.89126,0.57318,1.09488,0.000549036,0.000549036,0.000549036
42,423.483,0.73352,0.50435,0.99678,0.92883,0.87918,0.91455,0.71677,0.84797,0.53474,1.06086,0.000540037,0.000540037,0.000540037
43,432.045,0.76296,0.5089,0.99571,0.9286,0.86488,0.91728,0.69809,0.90489,0.59088,1.08571,0.000531038,0.000531038,0.000531038
44,441.24,0.73363,0.48963,0.99042,0.90942,0.88519,0.91982,0.71375,0.85421,0.60906,1.09342,0.000522039,0.000522039,0.000522039
45,450.082,0.71674,0.47755,0.97219,0.92468,0.89213,0.93157,0.72845,0.85617,0.56999,1.07509,0.00051304,0.00051304,0.00051304
46,459.497,0.72132,0.48819,0.98187,0.93869,0.87831,0.92202,0.7182,0.84519,0.56555,1.08318,0.00050404,0.00050404,0.00050404
47,468.602,0.69336,0.47576,0.97718,0.92823,0.89365,0.93074,0.72783,0.84091,0.58295,1.0756,0.000495041,0.000495041,0.000495041
48,477.632,0.70858,0.47814,0.98329,0.87364,0.88945,0.91614,0.72284,0.84839,0.57214,1.08222,0.000486042,0.000486042,0.000486042
49,486.434,0.69564,0.47067,0.96656,0.89409,0.90272,0.92059,0.73241,0.83294,0.52649,1.07401,0.000477043,0.000477043,0.000477043
50,496.098,0.71268,0.46537,0.97707,0.9325,0.86382,0.92442,0.72731,0.85021,0.54325,1.07898,0.000468044,0.000468044,0.000468044
51,504.554,0.7018,0.46702,0.96879,0.93789,0.89709,0.92956,0.75075,0.82018,0.50264,1.05343,0.000459045,0.000459045,0.000459045
52,513.702,0.69883,0.45955,0.9655,0.94613,0.90352,0.93626,0.75254,0.82472,0.47147,1.06393,0.000450046,0.000450046,0.000450046
53,523.232,0.68269,0.456,0.96636,0.95944,0.90708,0.93358,0.75877,0.80991,0.46936,1.05717,0.000441047,0.000441047,0.000441047
54,532.239,0.66382,0.45023,0.95629,0.94566,0.90131,0.93791,0.75231,0.82665,0.4798,1.0671,0.000432048,0.000432048,0.000432048
55,541.032,0.64804,0.4283,0.94426,0.95038,0.89057,0.93503,0.74916,0.82686,0.47459,1.07623,0.000423049,0.000423049,0.000423049
56,549.626,0.6507,0.42979,0.94496,0.9498,0.92472,0.95027,0.74113,0.82002,0.47731,1.079,0.000414049,0.000414049,0.000414049
57,558.275,0.64544,0.42806,0.94413,0.96761,0.89869,0.92922,0.74199,0.80038,0.45352,1.05433,0.00040505,0.00040505,0.00040505
58,567.264,0.65152,0.42747,0.95263,0.94349,0.90043,0.92376,0.74184,0.8033,0.46677,1.04816,0.000396051,0.000396051,0.000396051
59,576.384,0.64568,0.43004,0.94687,0.96775,0.89574,0.92513,0.73982,0.78288,0.47626,1.03694,0.000387052,0.000387052,0.000387052
60,585.287,0.62176,0.41727,0.93889,0.9598,0.9052,0.93549,0.75288,0.76706,0.46426,1.01716,0.000378053,0.000378053,0.000378053
61,594.242,0.63362,0.41527,0.93777,0.95854,0.90643,0.93824,0.75923,0.76757,0.45585,1.04293,0.000369054,0.000369054,0.000369054
62,603.719,0.65278,0.43026,0.96121,0.95391,0.9065,0.93378,0.75019,0.78134,0.45422,1.05605,0.000360055,0.000360055,0.000360055
63,612.549,0.62129,0.40736,0.93832,0.96259,0.89285,0.92554,0.75295,0.78229,0.46248,1.04207,0.000351056,0.000351056,0.000351056
64,621.414,0.5999,0.40214,0.92843,0.95453,0.9,0.92786,0.74918,0.79196,0.45302,1.05857,0.000342057,0.000342057,0.000342057
65,630.19,0.62328,0.41204,0.92893,0.95008,0.88365,0.92144,0.74993,0.77114,0.46986,1.0354,0.000333058,0.000333058,0.000333058
66,638.772,0.63417,0.42926,0.94566,0.95719,0.89707,0.93161,0.75194,0.78189,0.45329,1.05513,0.000324058,0.000324058,0.000324058
67,647.866,0.61035,0.4081,0.9322,0.95305,0.89822,0.93133,0.75334,0.78616,0.45668,1.03709,0.000315059,0.000315059,0.000315059
68,656.357,0.61582,0.4064,0.93854,0.95761,0.89936,0.93857,0.75489,0.79146,0.44637,1.03019,0.00030606,0.00030606,0.00030606
69,665.162,0.59962,0.392,0.92905,0.93436,0.90281,0.94375,0.75939,0.77677,0.439,1.04257,0.000297061,0.000297061,0.000297061
70,674.25,0.57726,0.3854,0.92574,0.94993,0.89566,0.9424,0.76087,0.77423,0.41783,1.02903,0.000288062,0.000288062,0.000288062
71,684.009,0.5959,0.3904,0.92586,0.9274,0.91699,0.94179,0.76011,0.78797,0.43552,1.0463,0.000279063,0.000279063,0.000279063
72,692.639,0.58873,0.37726,0.91919,0.94249,0.92051,0.94418,0.7595,0.77925,0.42505,1.03276,0.000270064,0.000270064,0.000270064
73,701.246,0.57793,0.3806,0.92228,0.95971,0.89525,0.93793,0.75845,0.7736,0.42362,1.03862,0.000261065,0.000261065,0.000261065
74,709.401,0.56885,0.36746,0.91865,0.95273,0.91465,0.93351,0.76137,0.76146,0.43609,1.0405,0.000252066,0.000252066,0.000252066
75,718.527,0.56902,0.36824,0.91332,0.96997,0.91765,0.94393,0.75838,0.76236,0.4264,1.03315,0.000243067,0.000243067,0.000243067
76,727.054,0.56505,0.37335,0.9187,0.96187,0.90354,0.93119,0.75384,0.77416,0.43636,1.03233,0.000234068,0.000234068,0.000234068
77,735.436,0.55034,0.36345,0.90648,0.96449,0.90136,0.93016,0.75373,0.76488,0.44549,1.0344,0.000225068,0.000225068,0.000225068
78,743.93,0.54926,0.36121,0.90783,0.95554,0.91051,0.94562,0.754,0.76385,0.43688,1.04175,0.000216069,0.000216069,0.000216069
79,752.694,0.56051,0.36105,0.91761,0.97286,0.91731,0.94817,0.75173,0.77598,0.43232,1.05324,0.00020707,0.00020707,0.00020707
80,761.751,0.53363,0.34877,0.9027,0.97696,0.92838,0.95067,0.75401,0.77535,0.43047,1.05435,0.000198071,0.000198071,0.000198071
81,770.416,0.55451,0.35916,0.90584,0.96749,0.9051,0.93631,0.75189,0.78302,0.42182,1.05467,0.000189072,0.000189072,0.000189072
82,778.952,0.53279,0.35181,0.90986,0.96036,0.91224,0.94174,0.75369,0.77329,0.41599,1.04905,0.000180073,0.000180073,0.000180073
83,787.949,0.5355,0.3418,0.90217,0.96182,0.91446,0.94508,0.75778,0.78593,0.41936,1.06229,0.000171074,0.000171074,0.000171074
84,796.705,0.5498,0.35303,0.91026,0.94508,0.91658,0.94397,0.75979,0.76257,0.41169,1.04365,0.000162075,0.000162075,0.000162075
85,805.46,0.54131,0.36103,0.91377,0.95816,0.92193,0.94567,0.76236,0.7642,0.40293,1.0365,0.000153076,0.000153076,0.000153076
86,815.031,0.51037,0.33331,0.89432,0.97338,0.91882,0.95425,0.76629,0.76451,0.39813,1.03453,0.000144077,0.000144077,0.000144077
87,824.648,0.52157,0.33797,0.89986,0.96401,0.91723,0.94589,0.76783,0.75709,0.39836,1.02733,0.000135077,0.000135077,0.000135077
88,834.025,0.50538,0.33327,0.89673,0.97383,0.92041,0.95496,0.76833,0.76731,0.41248,1.02631,0.000126078,0.000126078,0.000126078
89,843.308,0.51023,0.33632,0.8981,0.97612,0.9195,0.95328,0.76713,0.75238,0.40958,1.02619,0.000117079,0.000117079,0.000117079
90,852.252,0.50004,0.324,0.89003,0.95969,0.91922,0.94107,0.76283,0.75174,0.39966,1.02463,0.00010808,0.00010808,0.00010808
91,870.633,0.44408,0.28645,0.85515,0.95782,0.91472,0.94369,0.76291,0.74933,0.40544,1.0124,9.9081e-05,9.9081e-05,9.9081e-05
92,879.775,0.44545,0.2837,0.85523,0.95694,0.91232,0.94163,0.76495,0.74132,0.40823,1.01478,9.00819e-05,9.00819e-05,9.00819e-05
93,888.234,0.42618,0.26975,0.85485,0.95905,0.90637,0.93956,0.7598,0.74676,0.39828,1.01746,8.10828e-05,8.10828e-05,8.10828e-05
94,896.828,0.4324,0.27066,0.85623,0.94579,0.91559,0.94143,0.76548,0.73518,0.39806,1.01399,7.20837e-05,7.20837e-05,7.20837e-05
95,906.136,0.40779,0.25837,0.84596,0.95754,0.91021,0.94501,0.77077,0.73783,0.39839,1.01889,6.30846e-05,6.30846e-05,6.30846e-05
96,915.706,0.42065,0.26468,0.8524,0.95395,0.90942,0.94542,0.77311,0.7407,0.39774,1.01644,5.40855e-05,5.40855e-05,5.40855e-05
97,925.066,0.41438,0.25793,0.85183,0.96896,0.89408,0.94525,0.77284,0.74102,0.39743,1.01624,4.50864e-05,4.50864e-05,4.50864e-05
98,933.89,0.42787,0.26493,0.85619,0.968,0.89463,0.94467,0.77377,0.73832,0.3968,1.01921,3.60873e-05,3.60873e-05,3.60873e-05
99,942.989,0.40402,0.2579,0.84456,0.96695,0.89493,0.94339,0.77437,0.73216,0.3933,1.01548,2.70882e-05,2.70882e-05,2.70882e-05
100,952.767,0.40709,0.25774,0.84649,0.96924,0.89523,0.94287,0.77225,0.73224,0.39167,1.01567,1.80891e-05,1.80891e-05,1.80891e-05
