epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6243,1.22985,9.25004,0.69357,3.41124,1.67851,0.3654,0.34545,0.28837,0.09261,0,0,0,0,2.92502,10.8528,0.82163,3.22222,3.44539,0.00065641,0.00065641,0.00065641
2,72.317,0.89087,7.09288,0.61531,0.68174,1.42525,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00132046,0.00132046,0.00132046
3,104.481,0.84142,6.05164,0.60461,0.63206,1.37875,0.3071,0.26364,0.13581,0.04795,0.06483,0.00455,0.00068,7e-05,3.0385,11.147,0.991,3.91713,5.27137,0.00198186,0.00198186,0.00198186
4,136.406,0.76691,4.86603,0.59874,0.58053,1.29837,0.92449,0.82273,0.94894,0.56951,0.15298,0.14091,0.03666,0.00731,1.26582,7.35008,0.79107,0.85878,1.73169,0.00198812,0.00198812,0.00198812
5,169.966,0.68742,4.18572,0.59305,0.49706,1.22593,0.9918,0.99545,0.99464,0.61894,0.47975,0.44091,0.25442,0.07138,1.20018,5.3718,0.75858,0.7794,1.5435,0.00198416,0.00198416,0.00198416
6,203.637,0.64876,3.80915,0.58285,0.47349,1.19817,0.96088,0.95909,0.98855,0.71123,0.65811,0.65455,0.48565,0.16379,0.99035,4.72667,0.71922,0.92404,1.23254,0.0019802,0.0019802,0.0019802
7,236.633,0.59886,3.39084,0.5745,0.44591,1.15297,0.96016,0.98586,0.99095,0.74812,0.32129,0.33182,0.18145,0.02721,0.89623,5.93308,0.7577,0.67869,1.26357,0.00197624,0.00197624,0.00197624
8,269.228,0.58892,3.22798,0.56888,0.43075,1.13497,0.99965,1,0.995,0.73474,0.69047,0.69091,0.51129,0.15944,0.83782,4.06279,0.70656,0.53204,1.13751,0.00197228,0.00197228,0.00197228
9,303.013,0.55407,3.26107,0.56243,0.40678,1.11061,0.99862,0.99545,0.995,0.75998,0.63243,0.63636,0.44035,0.16755,0.89462,4.48689,0.69639,0.54311,1.30159,0.00196832,0.00196832,0.00196832
10,336.017,0.5089,2.92853,0.5539,0.36466,1.08459,0.9996,1,0.995,0.74382,0.80705,0.74545,0.62838,0.26205,0.86275,3.64923,0.66901,0.47252,1.1363,0.00196436,0.00196436,0.00196436
11,370.178,0.50552,2.79619,0.5577,0.36654,1.07901,0.9971,0.94545,0.98828,0.76019,0.69914,0.65,0.54591,0.16137,0.83965,4.11373,0.69168,0.53131,1.13366,0.0019604,0.0019604,0.0019604
12,401.878,0.49904,2.63748,0.53264,0.36386,1.06558,0.98591,1,0.99482,0.758,0.79989,0.78636,0.69655,0.24384,0.76917,3.67061,0.64947,0.52184,1.09884,0.00195644,0.00195644,0.00195644
13,434.268,0.48689,2.51392,0.53449,0.34768,1.05839,0.99711,0.98636,0.99495,0.73702,0.70627,0.71043,0.53318,0.1859,0.89321,4.07715,0.66472,0.50344,1.21656,0.00195248,0.00195248,0.00195248
14,466.032,0.50315,2.48391,0.52221,0.3512,1.07114,0.99928,1,0.995,0.79895,0.77672,0.77727,0.64935,0.26971,0.76004,3.51834,0.63603,0.50982,1.04119,0.00194852,0.00194852,0.00194852
15,499.565,0.47211,2.37382,0.49746,0.34308,1.04987,0.99859,1,0.995,0.83073,0.9532,0.95455,0.91437,0.40408,0.67676,3.11484,0.5858,0.39485,0.99388,0.00194456,0.00194456,0.00194456
16,533.019,0.45819,2.22338,0.47901,0.32606,1.02976,1,0.99433,0.995,0.67716,0.82164,0.81664,0.74169,0.3241,1.13109,3.43188,0.57578,0.61058,1.68695,0.0019406,0.0019406,0.0019406
17,565.207,0.46226,2.1249,0.44973,0.34345,1.0485,0.99905,1,0.995,0.78871,0.8719,0.87273,0.7963,0.34399,0.84649,3.15797,0.54963,0.48026,1.16675,0.00193664,0.00193664,0.00193664
18,597.309,0.46173,1.99391,0.41007,0.33049,1.05667,0.98652,0.99807,0.99495,0.75159,0.90496,0.90888,0.86878,0.37723,0.83325,2.97655,0.45471,0.51506,1.11346,0.00193268,0.00193268,0.00193268
19,629.232,0.44171,1.96721,0.34517,0.31802,1.03056,0.99903,0.99091,0.995,0.81557,0.93193,0.92273,0.88339,0.4051,0.71748,2.88646,0.31839,0.48317,1.01508,0.00192872,0.00192872,0.00192872
20,661.401,0.45282,1.92364,0.29944,0.31748,1.03797,0.99767,1,0.995,0.81309,0.86611,0.86818,0.80643,0.30804,0.72877,3.13569,0.37894,0.46112,1.04431,0.00192476,0.00192476,0.00192476
21,693.137,0.44741,1.89967,0.27877,0.31832,1.03024,0.99891,1,0.995,0.83524,0.93986,0.94091,0.89548,0.40894,0.64973,2.82785,0.26448,0.42378,0.96218,0.0019208,0.0019208,0.0019208
22,726.48,0.42051,1.7457,0.24539,0.30414,1.02925,0.9991,1,0.995,0.84263,0.9219,0.92273,0.88143,0.42978,0.62884,2.59706,0.27386,0.43381,0.96345,0.00191684,0.00191684,0.00191684
23,760.217,0.42863,1.66005,0.22724,0.31368,1.01972,0.99976,1,0.995,0.84233,0.97248,0.97273,0.95178,0.4544,0.63281,2.2931,0.21128,0.39945,0.92909,0.00191288,0.00191288,0.00191288
24,793.713,0.4142,1.5535,0.21647,0.30327,1.01049,0.99782,1,0.995,0.83654,0.96602,0.96818,0.945,0.50916,0.72514,2.29966,0.23165,0.43091,1.03634,0.00190892,0.00190892,0.00190892
25,827.081,0.39746,1.51836,0.20018,0.28625,1.00888,0.99045,1,0.99491,0.82428,0.94535,0.95455,0.91421,0.44205,0.72228,2.23346,0.2465,0.45744,0.98752,0.00190496,0.00190496,0.00190496
